,Generation,Fitness
0,1,25
1,2,20
2,3,19
3,4,16
4,5,12
5,6,11
6,7,9
7,8,8
8,9,8
9,10,8
10,11,8
11,12,8
12,13,8
13,14,8
14,15,8
15,16,6
16,17,6
17,18,6
18,19,6
19,20,6
20,21,6
21,22,6
22,23,6
23,24,6
24,25,6
25,26,6
26,27,6
27,28,6
28,29,6
29,30,6
30,31,6
31,32,6
32,33,6
33,34,6
34,35,6
35,36,6
36,37,6
37,38,6
38,39,6
39,40,6
40,41,6
41,42,6
42,43,6
43,44,6
44,45,6
45,46,6
46,47,31
47,48,29
48,49,24
49,50,23
50,51,19
51,52,19
52,53,19
53,54,18
54,55,17
55,56,15
56,57,14
57,58,14
58,59,14
59,60,14
60,61,13
61,62,12
62,63,11
63,64,10
64,65,10
65,66,8
66,67,8
67,68,7
68,69,7
69,70,7
70,71,7
71,72,7
72,73,7
73,74,7
74,75,5
75,76,5
76,77,5
77,78,5
78,79,5
79,80,5
80,81,5
81,82,5
82,83,5
83,84,5
84,85,5
85,86,5
86,87,5
87,88,5
88,89,5
89,90,5
90,91,5
91,92,5
92,93,5
93,94,5
94,95,5
95,96,5
96,97,5
97,98,5
98,99,5
99,100,5
100,101,5
101,102,5
102,103,5
103,104,5
104,105,5
105,106,32
106,107,28
107,108,24
108,109,22
109,110,18
110,111,15
111,112,11
112,113,8
113,114,6
114,115,4
115,116,3
116,117,2
117,118,2
118,119,2
119,120,2
120,121,2
121,122,2
122,123,2
123,124,2
124,125,2
125,126,2
126,127,2
127,128,2
128,129,2
129,130,2
130,131,2
131,132,2
132,133,2
133,134,2
134,135,2
135,136,2
136,137,2
137,138,2
138,139,2
139,140,2
140,141,2
141,142,2
142,143,2
143,144,2
144,145,2
145,146,2
146,147,2
147,148,30
148,149,27
149,150,24
150,151,21
151,152,15
152,153,13
153,154,11
154,155,8
155,156,7
156,157,6
157,158,2
158,159,2
159,160,2
160,161,2
161,162,2
162,163,2
163,164,2
164,165,2
165,166,2
166,167,2
167,168,2
168,169,2
169,170,2
170,171,2
171,172,2
172,173,2
173,174,2
174,175,2
175,176,2
176,177,2
177,178,2
178,179,2
179,180,2
180,181,2
181,182,2
182,183,2
183,184,2
184,185,2
185,186,2
186,187,2
187,188,2
188,189,29
189,190,26
190,191,17
191,192,15
192,193,12
193,194,9
194,195,5
195,196,4
196,197,2
197,198,2
198,199,2
199,200,2
200,201,2
201,202,2
202,203,2
203,204,2
204,205,2
205,206,2
206,207,2
207,208,2
208,209,2
209,210,2
210,211,2
211,212,2
212,213,2
213,214,2
214,215,2
215,216,2
216,217,2
217,218,2
218,219,2
219,220,2
220,221,2
221,222,2
222,223,2
223,224,2
224,225,2
225,226,2
226,227,2
227,228,30
228,229,29
229,230,20
230,231,20
231,232,17
232,233,14
233,234,10
234,235,10
235,236,9
236,237,9
237,238,8
238,239,8
239,240,7
240,241,7
241,242,7
242,243,7
243,244,7
244,245,7
245,246,6
246,247,6
247,248,6
248,249,6
249,250,6
250,251,6
251,252,6
252,253,6
253,254,6
254,255,6
255,256,6
256,257,6
257,258,6
258,259,6
259,260,6
260,261,6
261,262,6
262,263,6
263,264,6
264,265,6
265,266,6
266,267,6
267,268,6
268,269,6
269,270,6
270,271,6
271,272,6
272,273,6
273,274,6
274,275,6
275,276,6
276,277,30
277,278,26
278,279,23
279,280,22
280,281,16
281,282,15
282,283,11
283,284,10
284,285,10
285,286,9
286,287,9
287,288,8
288,289,8
289,290,8
290,291,8
291,292,8
292,293,8
293,294,6
294,295,6
295,296,6
296,297,6
297,298,6
298,299,6
299,300,6
300,301,6
301,302,6
302,303,6
303,304,6
304,305,6
305,306,6
306,307,6
307,308,6
308,309,6
309,310,6
310,311,6
311,312,6
312,313,6
313,314,6
314,315,6
315,316,6
316,317,6
317,318,6
318,319,6
319,320,6
320,321,6
321,322,6
322,323,6
323,324,6
324,325,29
325,326,25
326,327,20
327,328,18
328,329,15
329,330,12
330,331,11
331,332,9
332,333,3
333,334,2
334,335,2
335,336,2
336,337,2
337,338,2
338,339,0
