,Generation,Fitness
0,1,27
1,2,27
2,3,27
3,4,27
4,5,27
5,6,22
6,7,22
7,8,22
8,9,22
9,10,18
10,11,16
11,12,15
12,13,15
13,14,14
14,15,12
15,16,12
16,17,11
17,18,9
18,19,8
19,20,7
20,21,6
21,22,6
22,23,6
23,24,4
24,25,4
25,26,4
26,27,2
27,28,2
28,29,2
29,30,2
30,31,2
31,32,2
32,33,2
33,34,2
34,35,2
35,36,2
36,37,2
37,38,2
38,39,2
39,40,2
40,41,2
41,42,2
42,43,2
43,44,2
44,45,2
45,46,2
46,47,2
47,48,2
48,49,2
49,50,2
50,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
56,57,2
57,58,30
58,59,30
59,60,30
60,61,25
61,62,25
62,63,22
63,64,22
64,65,20
65,66,20
66,67,20
67,68,20
68,69,16
69,70,16
70,71,16
71,72,14
72,73,14
73,74,14
74,75,14
75,76,13
76,77,11
77,78,11
78,79,11
79,80,11
80,81,10
81,82,7
82,83,7
83,84,6
84,85,6
85,86,4
86,87,4
87,88,4
88,89,4
89,90,4
90,91,4
91,92,4
92,93,4
93,94,4
94,95,4
95,96,4
96,97,4
97,98,4
98,99,4
99,100,4
100,101,4
101,102,4
102,103,4
103,104,4
104,105,4
105,106,4
106,107,4
107,108,4
108,109,4
109,110,4
110,111,4
111,112,4
112,113,4
113,114,4
114,115,4
115,116,4
116,117,30
117,118,30
118,119,30
119,120,27
120,121,27
121,122,25
122,123,24
123,124,23
124,125,23
125,126,22
126,127,20
127,128,20
128,129,20
129,130,17
130,131,17
131,132,17
132,133,16
133,134,12
134,135,12
135,136,12
136,137,12
137,138,12
138,139,11
139,140,11
140,141,9
141,142,8
142,143,7
143,144,7
144,145,6
145,146,6
146,147,6
147,148,2
148,149,2
149,150,2
150,151,2
151,152,2
152,153,2
153,154,2
154,155,2
155,156,2
156,157,2
157,158,2
158,159,2
159,160,2
160,161,2
161,162,2
162,163,2
163,164,2
164,165,2
165,166,2
166,167,2
167,168,2
168,169,2
169,170,2
170,171,2
171,172,2
172,173,2
173,174,2
174,175,2
175,176,2
176,177,2
177,178,2
178,179,28
179,180,28
180,181,28
181,182,28
182,183,24
183,184,24
184,185,23
185,186,19
186,187,19
187,188,19
188,189,19
189,190,16
190,191,16
191,192,16
192,193,16
193,194,14
194,195,9
195,196,9
196,197,9
197,198,9
198,199,9
199,200,9
200,201,8
201,202,8
202,203,7
203,204,4
204,205,4
205,206,4
206,207,4
207,208,4
208,209,4
209,210,4
210,211,4
211,212,4
212,213,4
213,214,4
214,215,4
215,216,4
216,217,4
217,218,4
218,219,4
219,220,4
220,221,4
221,222,4
222,223,4
223,224,4
224,225,4
225,226,4
226,227,4
227,228,4
228,229,4
229,230,4
230,231,4
231,232,4
232,233,4
233,234,4
234,235,30
235,236,30
236,237,30
237,238,27
238,239,27
239,240,25
240,241,25
241,242,22
242,243,19
243,244,19
244,245,18
245,246,18
246,247,18
247,248,18
248,249,16
249,250,16
250,251,12
251,252,12
252,253,12
253,254,12
254,255,12
255,256,12
256,257,11
257,258,9
258,259,9
259,260,8
260,261,7
261,262,4
262,263,4
263,264,4
264,265,0
