,Generation,Fitness
0,1,28
1,2,28
2,3,28
3,4,26
4,5,26
5,6,26
6,7,24
7,8,22
8,9,22
9,10,22
10,11,22
11,12,21
12,13,20
13,14,20
14,15,17
15,16,17
16,17,17
17,18,17
18,19,17
19,20,17
20,21,16
21,22,16
22,23,16
23,24,16
24,25,16
25,26,16
26,27,16
27,28,16
28,29,16
29,30,16
30,31,16
31,32,16
32,33,16
33,34,16
34,35,16
35,36,16
36,37,16
37,38,16
38,39,16
39,40,16
40,41,16
41,42,16
42,43,16
43,44,16
44,45,16
45,46,16
46,47,16
47,48,16
48,49,16
49,50,16
50,51,16
51,52,31
52,53,31
53,54,31
54,55,28
55,56,26
56,57,25
57,58,25
58,59,23
59,60,19
60,61,19
61,62,19
62,63,18
63,64,17
64,65,17
65,66,17
66,67,17
67,68,17
68,69,17
69,70,17
70,71,17
71,72,17
72,73,17
73,74,17
74,75,17
75,76,17
76,77,17
77,78,17
78,79,17
79,80,17
80,81,17
81,82,17
82,83,17
83,84,17
84,85,17
85,86,17
86,87,17
87,88,17
88,89,17
89,90,17
90,91,17
91,92,17
92,93,17
93,94,17
94,95,31
95,96,30
96,97,30
97,98,27
98,99,27
99,100,27
100,101,24
101,102,22
102,103,18
103,104,18
104,105,18
105,106,18
106,107,18
107,108,18
108,109,18
109,110,18
110,111,18
111,112,18
112,113,18
113,114,18
114,115,18
115,116,18
116,117,18
117,118,18
118,119,18
119,120,18
120,121,18
121,122,18
122,123,18
123,124,18
124,125,18
125,126,18
126,127,18
127,128,18
128,129,18
129,130,18
130,131,18
131,132,18
132,133,18
133,134,31
134,135,30
135,136,30
136,137,27
137,138,26
138,139,25
139,140,24
140,141,23
141,142,23
142,143,23
143,144,20
144,145,20
145,146,19
146,147,18
147,148,18
148,149,18
149,150,18
150,151,17
151,152,17
152,153,17
153,154,17
154,155,17
155,156,17
156,157,17
157,158,17
158,159,17
159,160,17
160,161,17
161,162,17
162,163,17
163,164,17
164,165,17
165,166,17
166,167,17
167,168,17
168,169,17
169,170,17
170,171,17
171,172,17
172,173,17
173,174,17
174,175,17
175,176,17
176,177,17
177,178,17
178,179,17
179,180,17
180,181,17
181,182,29
182,183,29
183,184,29
184,185,26
185,186,24
186,187,24
187,188,23
188,189,23
189,190,23
190,191,20
191,192,20
192,193,20
193,194,20
194,195,20
195,196,20
196,197,20
197,198,20
198,199,20
199,200,18
200,201,18
201,202,18
202,203,18
203,204,18
204,205,17
205,206,17
206,207,17
207,208,17
208,209,17
209,210,17
210,211,17
211,212,17
212,213,17
213,214,17
214,215,17
215,216,17
216,217,17
217,218,17
218,219,16
219,220,16
220,221,16
221,222,16
222,223,16
223,224,16
224,225,16
225,226,16
226,227,16
227,228,16
228,229,16
229,230,16
230,231,16
231,232,16
232,233,16
233,234,16
234,235,16
235,236,16
236,237,16
237,238,16
238,239,16
239,240,16
240,241,16
241,242,16
242,243,16
243,244,16
244,245,16
245,246,16
246,247,16
247,248,16
248,249,16
249,250,25
250,251,25
251,252,25
252,253,25
253,254,22
254,255,22
255,256,22
256,257,19
257,258,19
258,259,19
259,260,19
260,261,18
261,262,18
262,263,17
263,264,16
264,265,16
265,266,16
266,267,16
267,268,15
268,269,15
269,270,15
270,271,15
271,272,15
272,273,13
273,274,13
274,275,13
275,276,13
276,277,12
277,278,12
278,279,12
279,280,12
280,281,12
281,282,12
282,283,12
283,284,12
284,285,12
285,286,12
286,287,12
287,288,12
288,289,12
289,290,12
290,291,12
291,292,12
292,293,12
293,294,12
294,295,12
295,296,12
296,297,12
297,298,12
298,299,12
299,300,12
300,301,12
301,302,12
302,303,12
303,304,12
304,305,12
305,306,12
306,307,12
307,308,32
308,309,32
309,310,29
310,311,28
311,312,26
312,313,24
313,314,24
314,315,23
315,316,21
316,317,20
317,318,19
318,319,18
319,320,18
320,321,18
321,322,18
322,323,18
323,324,16
324,325,16
325,326,16
326,327,15
327,328,15
328,329,15
329,330,15
330,331,15
331,332,15
332,333,15
333,334,15
334,335,15
335,336,15
336,337,15
337,338,15
338,339,15
339,340,15
340,341,15
341,342,15
342,343,15
343,344,15
344,345,15
345,346,15
346,347,15
347,348,15
348,349,15
349,350,15
350,351,15
351,352,15
352,353,15
353,354,15
354,355,15
355,356,15
356,357,15
357,358,27
358,359,27
359,360,26
360,361,24
361,362,24
362,363,24
363,364,24
364,365,24
365,366,24
366,367,24
367,368,22
368,369,21
369,370,21
370,371,21
371,372,21
372,373,20
373,374,19
374,375,19
375,376,19
376,377,19
377,378,19
378,379,19
379,380,19
380,381,19
381,382,19
382,383,18
383,384,18
384,385,18
385,386,18
386,387,18
387,388,18
388,389,18
389,390,18
390,391,18
391,392,18
392,393,18
393,394,18
394,395,18
395,396,18
396,397,18
397,398,18
398,399,18
399,400,18
400,401,18
401,402,18
402,403,18
403,404,18
404,405,18
405,406,18
406,407,18
407,408,18
408,409,18
409,410,18
410,411,18
411,412,18
412,413,18
413,414,30
414,415,30
415,416,27
416,417,27
417,418,27
418,419,26
419,420,25
420,421,21
421,422,21
422,423,20
423,424,20
424,425,20
425,426,16
426,427,16
427,428,16
428,429,16
429,430,15
430,431,15
431,432,15
432,433,14
433,434,14
434,435,14
435,436,14
436,437,14
437,438,14
438,439,14
439,440,14
440,441,14
441,442,14
442,443,14
443,444,14
444,445,14
445,446,14
446,447,14
447,448,14
448,449,14
449,450,14
450,451,14
451,452,14
452,453,14
453,454,14
454,455,14
455,456,14
456,457,14
457,458,14
458,459,14
459,460,14
460,461,14
461,462,14
462,463,14
463,464,30
464,465,30
465,466,29
466,467,29
467,468,27
468,469,26
469,470,24
470,471,23
471,472,23
472,473,22
473,474,21
474,475,20
475,476,20
476,477,20
477,478,19
478,479,18
479,480,17
480,481,17
481,482,17
482,483,17
483,484,15
484,485,14
485,486,14
486,487,14
487,488,14
488,489,14
489,490,14
490,491,14
491,492,14
492,493,14
493,494,14
494,495,14
495,496,14
496,497,14
497,498,14
498,499,14
499,500,14
500,501,14
501,502,14
502,503,14
503,504,14
504,505,14
505,506,14
506,507,14
507,508,14
508,509,14
509,510,14
510,511,14
511,512,14
512,513,14
513,514,14
514,515,14
515,516,32
516,517,32
517,518,29
518,519,29
519,520,25
520,521,25
521,522,25
522,523,22
523,524,22
524,525,22
525,526,19
526,527,19
527,528,17
528,529,17
529,530,15
530,531,15
531,532,15
532,533,15
533,534,15
534,535,15
535,536,15
536,537,15
537,538,15
538,539,15
539,540,15
540,541,15
541,542,15
542,543,15
543,544,15
544,545,15
545,546,15
546,547,15
547,548,15
548,549,15
549,550,15
550,551,15
551,552,15
552,553,15
553,554,15
554,555,15
555,556,15
556,557,15
557,558,15
558,559,15
559,560,15
560,561,28
561,562,28
562,563,28
563,564,27
564,565,27
565,566,26
566,567,24
567,568,24
568,569,24
569,570,24
570,571,22
571,572,22
572,573,22
573,574,22
574,575,19
575,576,18
576,577,18
577,578,18
578,579,18
579,580,17
580,581,17
581,582,17
582,583,17
583,584,17
584,585,17
585,586,17
586,587,17
587,588,16
588,589,16
589,590,16
590,591,16
591,592,16
592,593,16
593,594,16
594,595,16
595,596,16
596,597,16
597,598,16
598,599,16
599,600,16
600,601,16
601,602,16
602,603,16
603,604,16
604,605,16
605,606,16
606,607,16
607,608,16
608,609,16
609,610,16
610,611,16
611,612,16
612,613,16
613,614,16
614,615,16
615,616,16
616,617,16
617,618,16
618,619,29
619,620,29
620,621,29
621,622,27
622,623,25
623,624,25
624,625,20
625,626,20
626,627,19
627,628,19
628,629,19
629,630,19
630,631,17
631,632,17
632,633,17
633,634,17
634,635,17
635,636,17
636,637,17
637,638,17
638,639,17
639,640,17
640,641,17
641,642,17
642,643,17
643,644,17
644,645,17
645,646,17
646,647,17
647,648,17
648,649,17
649,650,17
650,651,17
651,652,17
652,653,17
653,654,17
654,655,17
655,656,17
656,657,17
657,658,17
658,659,17
659,660,17
660,661,17
661,662,30
662,663,29
663,664,24
664,665,24
665,666,24
666,667,20
667,668,20
668,669,18
669,670,17
670,671,17
671,672,17
672,673,16
673,674,13
674,675,11
675,676,11
676,677,11
677,678,11
678,679,11
679,680,11
680,681,11
681,682,11
682,683,11
683,684,11
684,685,11
685,686,11
686,687,11
687,688,11
688,689,11
689,690,11
690,691,11
691,692,11
692,693,11
693,694,11
694,695,11
695,696,11
696,697,11
697,698,11
698,699,11
699,700,11
700,701,11
701,702,11
702,703,11
703,704,11
704,705,11
705,706,32
706,707,32
707,708,30
708,709,30
709,710,27
710,711,24
711,712,24
712,713,22
713,714,22
714,715,17
715,716,17
716,717,14
717,718,14
718,719,14
719,720,13
720,721,13
721,722,10
722,723,9
723,724,9
724,725,8
725,726,8
726,727,8
727,728,8
728,729,8
729,730,8
730,731,8
731,732,8
732,733,8
733,734,8
734,735,8
735,736,8
736,737,8
737,738,8
738,739,8
739,740,8
740,741,8
741,742,8
742,743,8
743,744,8
744,745,8
745,746,8
746,747,8
747,748,8
748,749,8
749,750,8
750,751,8
751,752,8
752,753,8
753,754,8
754,755,8
755,756,29
756,757,27
757,758,27
758,759,25
759,760,25
760,761,25
761,762,25
762,763,24
763,764,22
764,765,20
765,766,20
766,767,20
767,768,20
768,769,19
769,770,16
770,771,16
771,772,16
772,773,16
773,774,15
774,775,15
775,776,15
776,777,15
777,778,14
778,779,14
779,780,14
780,781,14
781,782,14
782,783,14
783,784,14
784,785,14
785,786,14
786,787,14
787,788,14
788,789,14
789,790,14
790,791,14
791,792,14
792,793,14
793,794,14
794,795,14
