,Generation,Fitness
0,1,29
1,2,29
2,3,28
3,4,26
4,5,26
5,6,26
6,7,24
7,8,23
8,9,21
9,10,21
10,11,20
11,12,19
12,13,18
13,14,16
14,15,16
15,16,16
16,17,14
17,18,14
18,19,14
19,20,14
20,21,14
21,22,13
22,23,13
23,24,13
24,25,13
25,26,13
26,27,13
27,28,13
28,29,11
29,30,11
30,31,11
31,32,11
32,33,11
33,34,11
34,35,11
35,36,11
36,37,11
37,38,11
38,39,11
39,40,11
40,41,11
41,42,11
42,43,11
43,44,11
44,45,11
45,46,11
46,47,11
47,48,11
48,49,11
49,50,11
50,51,11
51,52,11
52,53,11
53,54,11
54,55,11
55,56,11
56,57,11
57,58,11
58,59,11
59,60,30
60,61,30
61,62,30
62,63,29
63,64,27
64,65,25
65,66,23
66,67,22
67,68,21
68,69,19
69,70,19
70,71,19
71,72,15
72,73,12
73,74,12
74,75,12
75,76,12
76,77,10
77,78,10
78,79,10
79,80,10
80,81,10
81,82,10
82,83,10
83,84,8
84,85,8
85,86,8
86,87,8
87,88,8
88,89,8
89,90,8
90,91,8
91,92,8
92,93,8
93,94,8
94,95,8
95,96,8
96,97,8
97,98,8
98,99,8
99,100,8
100,101,8
101,102,8
102,103,8
103,104,8
104,105,8
105,106,8
106,107,8
107,108,8
108,109,8
109,110,8
110,111,8
111,112,8
112,113,8
113,114,8
114,115,30
115,116,27
116,117,26
117,118,26
118,119,26
119,120,23
120,121,23
121,122,22
122,123,17
123,124,17
124,125,17
125,126,17
126,127,16
127,128,16
128,129,16
129,130,16
130,131,16
131,132,15
132,133,15
133,134,13
134,135,12
135,136,12
136,137,12
137,138,12
138,139,12
139,140,11
140,141,11
141,142,11
142,143,11
143,144,11
144,145,11
145,146,11
146,147,11
147,148,11
148,149,11
149,150,11
150,151,9
151,152,9
152,153,9
153,154,9
154,155,9
155,156,9
156,157,9
157,158,9
158,159,7
159,160,7
160,161,7
161,162,7
162,163,7
163,164,7
164,165,7
165,166,7
166,167,7
167,168,7
168,169,7
169,170,7
170,171,7
171,172,7
172,173,7
173,174,6
174,175,6
175,176,6
176,177,6
177,178,6
178,179,6
179,180,6
180,181,6
181,182,6
182,183,6
183,184,6
184,185,6
185,186,6
186,187,6
187,188,6
188,189,6
189,190,6
190,191,6
191,192,6
192,193,6
193,194,6
194,195,6
195,196,6
196,197,6
197,198,6
198,199,6
199,200,6
200,201,6
201,202,6
202,203,6
203,204,6
204,205,29
205,206,29
206,207,29
207,208,27
208,209,25
209,210,25
210,211,22
211,212,19
212,213,19
213,214,19
214,215,18
215,216,18
216,217,16
217,218,16
218,219,15
219,220,13
220,221,11
221,222,11
222,223,11
223,224,11
224,225,11
225,226,11
226,227,10
227,228,10
228,229,10
229,230,10
230,231,10
231,232,10
232,233,8
233,234,8
234,235,8
235,236,8
236,237,8
237,238,8
238,239,8
239,240,8
240,241,8
241,242,8
242,243,8
243,244,8
244,245,8
245,246,8
246,247,8
247,248,8
248,249,8
249,250,8
250,251,8
251,252,8
252,253,8
253,254,8
254,255,8
255,256,8
256,257,8
257,258,8
258,259,8
259,260,8
260,261,8
261,262,8
262,263,8
263,264,31
264,265,30
265,266,30
266,267,29
267,268,22
268,269,22
269,270,22
270,271,22
271,272,21
272,273,21
273,274,21
274,275,20
275,276,19
276,277,19
277,278,19
278,279,17
279,280,17
280,281,17
281,282,17
282,283,16
283,284,16
284,285,15
285,286,15
286,287,15
287,288,13
288,289,13
289,290,13
290,291,13
291,292,13
292,293,13
293,294,13
294,295,13
295,296,13
296,297,13
297,298,13
298,299,13
299,300,13
300,301,13
301,302,13
302,303,13
303,304,13
304,305,13
305,306,13
306,307,12
307,308,12
308,309,12
309,310,12
310,311,12
311,312,12
312,313,12
313,314,11
314,315,11
315,316,11
316,317,11
317,318,11
318,319,11
319,320,11
320,321,11
321,322,11
322,323,11
323,324,11
324,325,11
325,326,11
326,327,11
327,328,11
328,329,11
329,330,11
330,331,9
331,332,9
332,333,9
333,334,9
334,335,9
335,336,9
336,337,9
337,338,9
338,339,8
339,340,8
340,341,8
341,342,8
342,343,8
343,344,8
344,345,8
345,346,8
346,347,8
347,348,8
348,349,8
349,350,8
350,351,8
351,352,8
352,353,8
353,354,8
354,355,8
355,356,8
356,357,8
357,358,8
358,359,8
359,360,8
360,361,8
361,362,8
362,363,8
363,364,8
364,365,8
365,366,8
366,367,8
367,368,8
368,369,8
369,370,30
370,371,30
371,372,30
372,373,30
373,374,28
374,375,28
375,376,26
376,377,24
377,378,24
378,379,23
379,380,23
380,381,20
381,382,19
382,383,19
383,384,15
384,385,15
385,386,15
386,387,15
387,388,15
388,389,13
389,390,13
390,391,13
391,392,13
392,393,13
393,394,13
394,395,13
395,396,13
396,397,11
397,398,11
398,399,11
399,400,11
400,401,11
401,402,11
402,403,11
403,404,11
404,405,11
405,406,11
406,407,11
407,408,11
408,409,11
409,410,11
410,411,11
411,412,11
412,413,11
413,414,10
414,415,10
415,416,10
416,417,10
417,418,10
418,419,10
419,420,10
420,421,10
421,422,10
422,423,10
423,424,10
424,425,10
425,426,10
426,427,10
427,428,10
428,429,10
429,430,10
430,431,9
431,432,9
432,433,9
433,434,9
434,435,9
435,436,9
436,437,9
437,438,9
438,439,9
439,440,9
440,441,9
441,442,9
442,443,9
443,444,9
444,445,9
445,446,9
446,447,9
447,448,9
448,449,9
449,450,9
450,451,9
451,452,9
452,453,9
453,454,9
454,455,9
455,456,9
456,457,9
457,458,9
458,459,9
459,460,9
460,461,9
461,462,31
462,463,31
463,464,29
464,465,27
465,466,27
466,467,27
467,468,25
468,469,24
469,470,24
470,471,24
471,472,24
472,473,22
473,474,22
474,475,22
475,476,20
476,477,20
477,478,20
478,479,20
479,480,19
480,481,19
481,482,19
482,483,19
483,484,18
484,485,18
485,486,18
486,487,18
487,488,17
488,489,16
489,490,16
490,491,15
491,492,15
492,493,15
493,494,14
494,495,14
495,496,14
496,497,14
497,498,14
498,499,14
499,500,14
500,501,14
501,502,13
502,503,13
503,504,13
504,505,13
505,506,13
506,507,12
507,508,12
508,509,11
509,510,11
510,511,11
511,512,11
512,513,11
513,514,11
514,515,11
515,516,11
516,517,11
517,518,11
518,519,11
519,520,11
520,521,11
521,522,11
522,523,11
523,524,11
524,525,11
525,526,11
526,527,10
527,528,10
528,529,10
529,530,10
530,531,10
531,532,10
532,533,10
533,534,10
534,535,9
535,536,9
536,537,9
537,538,9
538,539,9
539,540,9
540,541,9
541,542,9
542,543,9
543,544,9
544,545,9
545,546,9
546,547,9
547,548,9
548,549,9
549,550,9
550,551,9
551,552,9
552,553,9
553,554,9
554,555,9
555,556,9
556,557,9
557,558,9
558,559,9
559,560,9
560,561,9
561,562,9
562,563,9
563,564,9
564,565,9
565,566,29
566,567,29
567,568,27
568,569,27
569,570,25
570,571,25
571,572,23
572,573,22
573,574,22
574,575,21
575,576,21
576,577,20
577,578,20
578,579,19
579,580,19
580,581,19
581,582,19
582,583,18
583,584,18
584,585,18
585,586,18
586,587,18
587,588,18
588,589,18
589,590,18
590,591,17
591,592,17
592,593,17
593,594,17
594,595,17
595,596,17
596,597,17
597,598,17
598,599,16
599,600,16
600,601,16
601,602,16
602,603,15
603,604,15
604,605,15
605,606,15
606,607,15
607,608,15
608,609,15
609,610,15
610,611,15
611,612,15
612,613,15
613,614,14
614,615,14
615,616,14
616,617,14
617,618,14
618,619,14
619,620,14
620,621,14
621,622,14
622,623,14
623,624,14
624,625,14
625,626,14
626,627,14
627,628,14
628,629,14
629,630,14
630,631,14
631,632,13
632,633,13
633,634,13
634,635,13
635,636,13
636,637,13
637,638,13
638,639,13
639,640,13
640,641,13
641,642,13
642,643,13
643,644,13
644,645,13
645,646,13
646,647,13
647,648,13
648,649,13
649,650,13
650,651,13
651,652,13
652,653,13
653,654,13
654,655,13
655,656,13
656,657,13
657,658,13
658,659,13
659,660,13
660,661,13
661,662,13
662,663,26
663,664,26
664,665,26
665,666,26
