,Generation,Fitness
0,1,30
1,2,29
2,3,29
3,4,27
4,5,24
5,6,24
6,7,23
7,8,20
8,9,20
9,10,20
10,11,20
11,12,16
12,13,16
13,14,16
14,15,13
15,16,13
16,17,13
17,18,13
18,19,12
19,20,12
20,21,9
21,22,9
22,23,9
23,24,9
24,25,9
25,26,9
26,27,9
27,28,6
28,29,6
29,30,6
30,31,4
31,32,4
32,33,2
33,34,2
34,35,2
35,36,2
36,37,2
37,38,2
38,39,2
39,40,2
40,41,2
41,42,2
42,43,2
43,44,2
44,45,2
45,46,2
46,47,2
47,48,2
48,49,2
49,50,2
50,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
56,57,2
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,2
63,64,32
64,65,32
65,66,29
66,67,29
67,68,24
68,69,23
69,70,23
70,71,18
71,72,18
72,73,18
73,74,18
74,75,16
75,76,16
76,77,14
77,78,14
78,79,14
79,80,14
80,81,13
81,82,13
82,83,12
83,84,10
84,85,10
85,86,10
86,87,9
87,88,8
88,89,8
89,90,8
90,91,8
91,92,8
92,93,6
93,94,6
94,95,6
95,96,6
96,97,6
97,98,6
98,99,6
99,100,6
100,101,6
101,102,6
102,103,6
103,104,6
104,105,6
105,106,6
106,107,6
107,108,6
108,109,6
109,110,6
110,111,6
111,112,6
112,113,6
113,114,6
114,115,6
115,116,6
116,117,6
117,118,6
118,119,6
119,120,6
120,121,6
121,122,6
122,123,6
123,124,28
124,125,28
125,126,25
126,127,25
127,128,23
128,129,23
129,130,23
130,131,23
131,132,23
132,133,20
133,134,20
134,135,20
135,136,18
136,137,18
137,138,18
138,139,17
139,140,17
140,141,15
141,142,15
142,143,12
143,144,12
144,145,12
145,146,12
146,147,9
147,148,9
148,149,9
149,150,8
150,151,8
151,152,7
152,153,7
153,154,7
154,155,6
155,156,6
156,157,6
157,158,6
158,159,6
159,160,6
160,161,6
161,162,6
162,163,6
163,164,6
164,165,6
165,166,6
166,167,6
167,168,6
168,169,6
169,170,6
170,171,6
171,172,6
172,173,6
173,174,6
174,175,6
175,176,6
176,177,6
177,178,6
178,179,6
179,180,6
180,181,6
181,182,6
182,183,6
183,184,6
184,185,6
185,186,29
186,187,29
187,188,28
188,189,24
189,190,24
190,191,24
191,192,24
192,193,22
193,194,22
194,195,21
195,196,21
196,197,18
197,198,18
198,199,18
199,200,18
200,201,17
201,202,15
202,203,14
203,204,13
204,205,13
205,206,13
206,207,12
207,208,9
208,209,9
209,210,9
210,211,9
211,212,8
212,213,6
213,214,6
214,215,5
215,216,5
216,217,5
217,218,5
218,219,5
219,220,5
220,221,5
221,222,5
222,223,5
223,224,5
224,225,5
225,226,5
226,227,5
227,228,5
228,229,5
229,230,5
230,231,5
231,232,5
232,233,5
233,234,5
234,235,5
235,236,5
236,237,5
237,238,5
238,239,5
239,240,5
240,241,5
241,242,5
242,243,5
243,244,5
244,245,5
245,246,30
246,247,30
247,248,30
248,249,27
249,250,27
250,251,21
251,252,21
252,253,19
253,254,19
254,255,19
255,256,19
256,257,19
257,258,17
258,259,16
259,260,16
260,261,12
261,262,12
262,263,12
263,264,12
264,265,12
265,266,12
266,267,10
267,268,10
268,269,10
269,270,10
270,271,10
271,272,9
272,273,8
273,274,7
274,275,7
275,276,6
276,277,4
277,278,4
278,279,4
279,280,4
280,281,4
281,282,4
282,283,4
283,284,4
284,285,4
285,286,4
286,287,4
287,288,4
288,289,4
289,290,4
290,291,4
291,292,4
292,293,4
293,294,4
294,295,4
295,296,4
296,297,4
297,298,4
298,299,4
299,300,4
300,301,4
301,302,4
302,303,4
303,304,4
304,305,4
305,306,4
306,307,4
307,308,28
308,309,28
309,310,27
310,311,26
311,312,23
312,313,23
313,314,21
314,315,21
315,316,21
316,317,19
317,318,19
318,319,19
319,320,18
320,321,17
321,322,17
322,323,16
323,324,16
324,325,16
325,326,16
326,327,15
327,328,12
328,329,11
329,330,11
330,331,11
331,332,10
332,333,10
333,334,8
334,335,8
335,336,8
336,337,4
337,338,4
338,339,4
339,340,4
340,341,4
341,342,4
342,343,4
343,344,0
