,Generation,Fitness
0,1,29
1,2,29
2,3,27
3,4,26
4,5,26
5,6,25
6,7,24
7,8,20
8,9,19
9,10,19
10,11,19
11,12,15
12,13,14
13,14,14
14,15,14
15,16,14
16,17,14
17,18,14
18,19,11
19,20,10
20,21,10
21,22,7
22,23,7
23,24,7
24,25,7
25,26,7
26,27,5
27,28,5
28,29,5
29,30,5
30,31,4
31,32,4
32,33,4
33,34,4
34,35,4
35,36,2
36,37,2
37,38,2
38,39,2
39,40,2
40,41,2
41,42,2
42,43,2
43,44,2
44,45,2
45,46,2
46,47,2
47,48,2
48,49,2
49,50,2
50,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
56,57,2
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,2
63,64,2
64,65,2
65,66,2
66,67,30
67,68,30
68,69,30
69,70,27
70,71,25
71,72,24
72,73,24
73,74,23
74,75,22
75,76,21
76,77,20
77,78,20
78,79,14
79,80,14
80,81,14
81,82,14
82,83,14
83,84,11
84,85,11
85,86,10
86,87,10
87,88,10
88,89,10
89,90,10
90,91,8
91,92,7
92,93,7
93,94,7
94,95,6
95,96,6
96,97,6
97,98,5
98,99,5
99,100,5
100,101,2
101,102,2
102,103,2
103,104,2
104,105,2
105,106,2
106,107,2
107,108,2
108,109,2
109,110,2
110,111,2
111,112,2
112,113,2
113,114,2
114,115,2
115,116,2
116,117,2
117,118,2
118,119,2
119,120,2
120,121,2
121,122,2
122,123,2
123,124,2
124,125,2
125,126,2
126,127,2
127,128,2
128,129,2
129,130,2
130,131,2
131,132,30
132,133,30
133,134,29
134,135,26
135,136,24
136,137,24
137,138,24
138,139,24
139,140,21
140,141,21
141,142,21
142,143,20
143,144,18
144,145,16
145,146,16
146,147,16
147,148,16
148,149,16
149,150,16
150,151,16
151,152,11
152,153,11
153,154,11
154,155,11
155,156,11
156,157,9
157,158,9
158,159,9
159,160,9
160,161,9
161,162,7
162,163,7
163,164,7
164,165,7
165,166,7
166,167,7
167,168,7
168,169,7
169,170,7
170,171,7
171,172,7
172,173,7
173,174,7
174,175,7
175,176,7
176,177,7
177,178,7
178,179,7
179,180,7
180,181,7
181,182,7
182,183,7
183,184,7
184,185,7
185,186,7
186,187,7
187,188,7
188,189,7
189,190,7
190,191,7
191,192,7
192,193,28
193,194,28
194,195,28
195,196,26
196,197,24
197,198,23
198,199,23
199,200,23
200,201,22
201,202,21
202,203,20
203,204,18
204,205,17
205,206,17
206,207,17
207,208,17
208,209,14
209,210,14
210,211,14
211,212,8
212,213,8
213,214,8
214,215,8
215,216,8
216,217,8
217,218,8
218,219,6
219,220,6
220,221,6
221,222,5
222,223,5
223,224,5
224,225,4
225,226,4
226,227,4
227,228,4
228,229,2
229,230,2
230,231,2
231,232,2
232,233,2
233,234,2
234,235,2
235,236,2
236,237,2
237,238,2
238,239,2
239,240,2
240,241,2
241,242,2
242,243,2
243,244,2
244,245,2
245,246,2
246,247,2
247,248,2
248,249,2
249,250,2
250,251,2
251,252,2
252,253,2
253,254,2
254,255,2
255,256,2
256,257,2
257,258,2
258,259,2
259,260,30
260,261,29
261,262,28
262,263,27
263,264,27
264,265,27
265,266,25
266,267,25
267,268,22
268,269,21
269,270,21
270,271,19
271,272,17
272,273,17
273,274,17
274,275,17
275,276,14
276,277,13
277,278,10
278,279,10
279,280,10
280,281,10
281,282,10
282,283,10
283,284,9
284,285,9
285,286,9
286,287,9
287,288,9
288,289,9
289,290,8
290,291,8
291,292,8
292,293,8
293,294,8
294,295,8
295,296,8
296,297,8
297,298,6
298,299,6
299,300,6
300,301,6
301,302,6
302,303,4
303,304,4
304,305,4
305,306,4
306,307,4
307,308,4
308,309,4
309,310,4
310,311,4
311,312,4
312,313,4
313,314,4
314,315,4
315,316,4
316,317,4
317,318,4
318,319,4
319,320,4
320,321,4
321,322,4
322,323,4
323,324,4
324,325,4
325,326,4
326,327,4
327,328,4
328,329,4
329,330,4
330,331,4
331,332,4
332,333,4
333,334,32
334,335,31
335,336,30
336,337,26
337,338,24
338,339,24
339,340,23
340,341,21
341,342,21
342,343,21
343,344,21
344,345,21
345,346,18
346,347,18
347,348,16
348,349,16
349,350,16
350,351,16
351,352,13
352,353,13
353,354,13
354,355,12
355,356,12
356,357,11
357,358,11
358,359,10
359,360,10
360,361,10
361,362,8
362,363,7
363,364,7
364,365,6
365,366,6
366,367,6
367,368,6
368,369,6
369,370,6
370,371,4
371,372,4
372,373,4
373,374,4
374,375,4
375,376,4
376,377,4
377,378,4
378,379,4
379,380,4
380,381,4
381,382,4
382,383,4
383,384,4
384,385,4
385,386,4
386,387,4
387,388,4
388,389,4
389,390,4
390,391,4
391,392,4
392,393,4
393,394,4
394,395,4
395,396,4
396,397,4
397,398,4
398,399,4
399,400,4
400,401,4
401,402,33
402,403,30
403,404,30
404,405,29
405,406,25
406,407,25
407,408,25
408,409,24
409,410,24
410,411,22
411,412,20
412,413,20
413,414,20
414,415,19
415,416,19
416,417,19
417,418,19
418,419,16
419,420,16
420,421,16
421,422,15
422,423,13
423,424,13
424,425,13
425,426,13
426,427,13
427,428,13
428,429,12
429,430,12
430,431,11
431,432,11
432,433,11
433,434,11
434,435,11
435,436,10
436,437,9
437,438,9
438,439,9
439,440,9
440,441,8
441,442,8
442,443,8
443,444,8
444,445,8
445,446,8
446,447,8
447,448,8
448,449,8
449,450,8
450,451,8
451,452,8
452,453,8
453,454,8
454,455,8
455,456,8
456,457,8
457,458,8
458,459,8
459,460,8
460,461,8
461,462,8
462,463,8
463,464,8
464,465,8
465,466,8
466,467,8
467,468,8
468,469,8
469,470,8
470,471,8
471,472,26
472,473,26
473,474,24
474,475,24
475,476,24
476,477,24
477,478,23
478,479,23
479,480,21
480,481,21
481,482,18
482,483,18
483,484,18
484,485,18
485,486,17
486,487,16
487,488,15
488,489,15
489,490,15
490,491,12
491,492,12
492,493,12
493,494,12
494,495,11
495,496,11
496,497,9
497,498,9
498,499,9
499,500,9
500,501,9
501,502,9
502,503,8
503,504,8
504,505,7
505,506,7
506,507,7
507,508,6
508,509,6
509,510,6
510,511,6
511,512,6
512,513,6
513,514,6
514,515,6
515,516,6
516,517,6
517,518,6
518,519,6
519,520,6
520,521,6
521,522,6
522,523,6
523,524,6
524,525,6
525,526,6
526,527,6
527,528,6
528,529,6
529,530,6
530,531,6
531,532,6
532,533,6
533,534,6
534,535,6
535,536,6
536,537,6
537,538,6
538,539,29
539,540,29
540,541,28
541,542,28
542,543,22
543,544,22
544,545,22
545,546,22
546,547,22
547,548,22
548,549,21
549,550,20
550,551,19
551,552,18
552,553,17
553,554,15
554,555,15
555,556,15
556,557,13
557,558,13
558,559,12
559,560,12
560,561,11
561,562,9
562,563,9
563,564,8
564,565,8
565,566,8
566,567,6
567,568,6
568,569,6
569,570,6
570,571,6
571,572,5
572,573,5
573,574,4
574,575,4
575,576,4
576,577,4
577,578,4
578,579,4
579,580,4
580,581,4
581,582,4
582,583,4
583,584,4
584,585,4
585,586,4
586,587,4
587,588,4
588,589,4
589,590,4
590,591,4
591,592,4
592,593,4
593,594,4
594,595,4
595,596,4
596,597,4
597,598,4
598,599,4
599,600,4
600,601,4
601,602,4
602,603,4
603,604,4
604,605,29
605,606,29
606,607,29
607,608,28
608,609,27
609,610,22
610,611,22
611,612,20
612,613,20
613,614,19
614,615,19
615,616,19
616,617,18
617,618,17
618,619,15
619,620,15
620,621,15
621,622,11
622,623,11
623,624,11
624,625,11
625,626,11
626,627,10
627,628,10
628,629,10
629,630,9
630,631,9
631,632,9
632,633,9
633,634,9
634,635,9
635,636,9
636,637,8
637,638,8
638,639,7
639,640,7
640,641,7
641,642,7
642,643,7
643,644,7
644,645,7
645,646,7
646,647,6
647,648,6
648,649,6
649,650,6
650,651,6
651,652,6
652,653,6
653,654,6
654,655,6
655,656,6
656,657,6
657,658,6
658,659,6
659,660,6
660,661,6
661,662,6
662,663,6
663,664,6
664,665,6
665,666,6
