,Generation,Fitness
0,1,30
1,2,28
2,3,28
3,4,27
4,5,26
5,6,23
6,7,23
7,8,20
8,9,20
9,10,17
10,11,17
11,12,16
12,13,15
13,14,15
14,15,15
15,16,14
16,17,13
17,18,13
18,19,11
19,20,11
20,21,11
21,22,11
22,23,10
23,24,10
24,25,9
25,26,8
26,27,7
27,28,7
28,29,7
29,30,6
30,31,6
31,32,4
32,33,4
33,34,4
34,35,4
35,36,4
36,37,4
37,38,4
38,39,4
39,40,4
40,41,4
41,42,4
42,43,4
43,44,4
44,45,4
45,46,4
46,47,4
47,48,4
48,49,4
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,4
57,58,4
58,59,4
59,60,4
60,61,4
61,62,4
62,63,32
63,64,27
64,65,27
65,66,27
66,67,20
67,68,20
68,69,20
69,70,20
70,71,20
71,72,20
72,73,18
73,74,14
74,75,14
75,76,14
76,77,14
77,78,12
78,79,12
79,80,12
80,81,11
81,82,11
82,83,10
83,84,9
84,85,9
85,86,9
86,87,7
87,88,7
88,89,7
89,90,7
90,91,7
91,92,6
92,93,6
93,94,6
94,95,6
95,96,5
96,97,5
97,98,4
98,99,4
99,100,4
100,101,4
101,102,4
102,103,2
103,104,2
104,105,2
105,106,2
106,107,2
107,108,2
108,109,2
109,110,2
110,111,2
111,112,2
112,113,2
113,114,2
114,115,2
115,116,2
116,117,2
117,118,2
118,119,2
119,120,2
120,121,2
121,122,2
122,123,2
123,124,2
124,125,2
125,126,2
126,127,2
127,128,2
128,129,2
129,130,2
130,131,2
131,132,2
132,133,2
133,134,28
134,135,28
135,136,26
136,137,24
137,138,24
138,139,24
139,140,24
140,141,23
141,142,23
142,143,21
143,144,18
144,145,18
145,146,18
146,147,18
147,148,16
148,149,16
149,150,16
150,151,13
151,152,13
152,153,11
153,154,11
154,155,11
155,156,9
156,157,9
157,158,9
158,159,7
159,160,7
160,161,7
161,162,7
162,163,6
163,164,6
164,165,4
165,166,4
