,Generation,Fitness
0,1,29
1,2,29
2,3,24
3,4,24
4,5,23
5,6,23
6,7,23
7,8,22
8,9,17
9,10,17
10,11,17
11,12,17
12,13,17
13,14,17
14,15,17
15,16,14
16,17,14
17,18,13
18,19,13
19,20,12
20,21,12
21,22,11
22,23,11
23,24,11
24,25,9
25,26,9
26,27,9
27,28,9
28,29,9
29,30,9
30,31,9
31,32,7
32,33,7
33,34,7
34,35,7
35,36,6
36,37,6
37,38,6
38,39,6
39,40,6
40,41,4
41,42,4
42,43,4
43,44,4
44,45,4
45,46,4
46,47,4
47,48,4
48,49,4
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,4
57,58,4
58,59,4
59,60,4
60,61,4
61,62,4
62,63,4
63,64,4
64,65,4
65,66,4
66,67,4
67,68,4
68,69,4
69,70,4
70,71,4
71,72,29
72,73,29
73,74,29
74,75,27
75,76,26
76,77,25
77,78,22
78,79,22
79,80,18
80,81,18
81,82,18
82,83,18
83,84,17
84,85,17
85,86,15
86,87,15
87,88,15
88,89,13
89,90,13
90,91,13
91,92,11
92,93,11
93,94,11
94,95,8
95,96,8
96,97,8
97,98,8
98,99,6
99,100,6
100,101,6
101,102,6
102,103,6
103,104,6
104,105,6
105,106,6
106,107,4
107,108,4
108,109,4
109,110,4
110,111,4
111,112,4
112,113,4
113,114,4
114,115,4
115,116,4
116,117,4
117,118,4
118,119,4
119,120,4
120,121,4
121,122,4
122,123,4
123,124,4
124,125,4
125,126,4
126,127,4
127,128,4
128,129,4
129,130,4
130,131,4
131,132,4
132,133,4
133,134,4
134,135,4
135,136,4
136,137,4
137,138,30
138,139,30
139,140,30
140,141,28
141,142,27
142,143,27
143,144,25
144,145,24
145,146,22
146,147,22
147,148,22
148,149,22
149,150,20
150,151,19
151,152,17
152,153,16
153,154,16
154,155,16
155,156,16
156,157,15
157,158,15
158,159,13
159,160,13
160,161,12
161,162,12
162,163,12
163,164,10
164,165,10
165,166,10
166,167,10
167,168,10
168,169,10
169,170,8
170,171,8
171,172,8
172,173,6
173,174,6
174,175,6
175,176,6
176,177,6
177,178,6
178,179,6
179,180,5
180,181,5
181,182,5
182,183,5
183,184,5
184,185,5
185,186,5
186,187,5
187,188,5
188,189,5
189,190,5
190,191,4
191,192,4
192,193,4
193,194,4
194,195,4
195,196,4
196,197,4
197,198,4
198,199,4
199,200,4
200,201,4
201,202,4
202,203,4
203,204,4
204,205,4
205,206,4
206,207,4
207,208,4
208,209,4
209,210,4
210,211,4
211,212,4
212,213,4
213,214,4
214,215,4
215,216,4
216,217,4
217,218,4
218,219,4
219,220,4
220,221,4
221,222,31
222,223,31
223,224,28
224,225,25
225,226,24
226,227,23
227,228,23
228,229,23
229,230,22
230,231,20
231,232,19
232,233,19
233,234,19
234,235,18
235,236,16
236,237,16
237,238,16
238,239,16
239,240,13
240,241,13
241,242,13
242,243,13
243,244,11
244,245,11
245,246,11
246,247,6
247,248,6
248,249,6
249,250,6
250,251,6
251,252,6
252,253,6
253,254,6
254,255,6
255,256,6
256,257,6
257,258,6
258,259,6
259,260,6
260,261,4
261,262,4
262,263,4
263,264,4
264,265,4
265,266,4
266,267,4
267,268,4
268,269,4
269,270,4
270,271,4
271,272,4
272,273,4
273,274,4
274,275,4
275,276,4
276,277,4
277,278,4
278,279,4
279,280,4
280,281,4
281,282,4
282,283,4
283,284,4
284,285,4
285,286,4
286,287,4
287,288,4
288,289,4
289,290,4
290,291,4
291,292,26
292,293,26
293,294,26
294,295,26
295,296,25
296,297,20
297,298,20
298,299,20
299,300,18
300,301,18
301,302,18
302,303,18
303,304,18
304,305,16
305,306,15
306,307,15
307,308,15
308,309,15
309,310,14
310,311,13
311,312,11
312,313,10
313,314,10
314,315,8
315,316,8
316,317,8
317,318,6
318,319,5
319,320,5
320,321,5
321,322,5
322,323,3
323,324,3
324,325,3
325,326,3
326,327,0
