,Generation,Fitness
0,1,32
1,2,30
2,3,25
3,4,25
4,5,25
5,6,21
6,7,20
7,8,17
8,9,17
9,10,17
10,11,17
11,12,17
12,13,15
13,14,15
14,15,15
15,16,15
16,17,12
17,18,11
18,19,11
19,20,11
20,21,10
21,22,10
22,23,10
23,24,10
24,25,9
25,26,9
26,27,8
27,28,8
28,29,8
29,30,6
30,31,4
31,32,4
32,33,4
33,34,4
34,35,4
35,36,4
36,37,3
37,38,3
38,39,2
39,40,2
40,41,2
41,42,2
42,43,2
43,44,2
44,45,2
45,46,2
46,47,2
47,48,2
48,49,2
49,50,2
50,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
56,57,2
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,2
63,64,2
64,65,2
65,66,2
66,67,2
67,68,2
68,69,2
69,70,31
70,71,31
71,72,27
72,73,25
73,74,24
74,75,24
75,76,21
76,77,21
77,78,21
78,79,19
79,80,19
80,81,18
81,82,18
82,83,17
83,84,13
84,85,13
85,86,13
86,87,11
87,88,11
88,89,11
89,90,11
90,91,8
91,92,8
92,93,8
93,94,7
94,95,7
95,96,7
96,97,6
97,98,6
98,99,6
99,100,6
100,101,6
101,102,6
102,103,4
103,104,4
104,105,4
105,106,4
106,107,4
107,108,2
108,109,2
109,110,2
110,111,2
111,112,2
112,113,2
113,114,2
114,115,2
115,116,2
116,117,2
117,118,2
118,119,2
119,120,2
120,121,2
121,122,2
122,123,2
123,124,2
124,125,2
125,126,2
126,127,2
127,128,2
128,129,2
129,130,2
130,131,2
131,132,2
132,133,2
133,134,2
134,135,2
135,136,2
136,137,2
137,138,2
138,139,30
139,140,28
140,141,28
141,142,26
142,143,25
143,144,25
144,145,24
145,146,24
146,147,24
147,148,22
148,149,21
149,150,21
150,151,21
151,152,19
152,153,19
153,154,19
154,155,19
155,156,17
156,157,14
157,158,14
158,159,14
159,160,14
160,161,14
161,162,14
162,163,14
163,164,10
164,165,10
165,166,9
166,167,9
167,168,9
168,169,9
169,170,8
170,171,8
171,172,8
172,173,8
173,174,7
174,175,6
175,176,4
176,177,4
177,178,4
178,179,2
179,180,2
180,181,2
181,182,2
182,183,2
183,184,2
184,185,2
185,186,2
186,187,2
187,188,2
188,189,2
189,190,2
190,191,2
191,192,2
192,193,2
193,194,2
194,195,2
195,196,2
196,197,2
197,198,2
198,199,2
199,200,2
200,201,2
201,202,2
202,203,2
203,204,2
204,205,2
205,206,2
206,207,2
207,208,2
208,209,2
209,210,25
210,211,25
211,212,25
212,213,25
213,214,25
214,215,25
215,216,25
216,217,24
217,218,21
218,219,21
219,220,19
220,221,19
221,222,19
222,223,19
223,224,17
224,225,16
225,226,16
226,227,15
227,228,14
228,229,13
229,230,13
230,231,13
231,232,12
232,233,12
233,234,11
234,235,11
235,236,8
236,237,8
237,238,8
238,239,8
239,240,8
240,241,8
241,242,8
242,243,7
243,244,7
244,245,7
245,246,6
246,247,6
247,248,6
248,249,6
249,250,6
250,251,6
251,252,6
252,253,6
253,254,6
254,255,4
255,256,4
256,257,4
257,258,4
258,259,4
259,260,4
260,261,4
261,262,4
262,263,4
263,264,4
264,265,4
265,266,4
266,267,4
267,268,4
268,269,4
269,270,4
270,271,4
271,272,4
272,273,4
273,274,4
274,275,4
275,276,4
276,277,4
277,278,4
278,279,4
279,280,4
280,281,4
281,282,4
282,283,4
283,284,4
284,285,4
285,286,30
286,287,29
287,288,29
288,289,27
289,290,27
290,291,22
291,292,22
292,293,22
293,294,22
294,295,18
295,296,18
296,297,18
297,298,18
298,299,17
299,300,17
300,301,15
301,302,15
302,303,15
303,304,15
304,305,13
305,306,11
306,307,11
307,308,11
308,309,9
309,310,8
310,311,8
311,312,7
312,313,7
313,314,7
314,315,6
315,316,5
316,317,5
317,318,2
318,319,2
319,320,2
320,321,2
321,322,2
322,323,2
323,324,2
324,325,2
325,326,0
