,Generation,Fitness
0,1,31
1,2,31
2,3,31
3,4,30
4,5,26
5,6,26
6,7,24
7,8,24
8,9,24
9,10,22
10,11,21
11,12,21
12,13,19
13,14,19
14,15,18
15,16,17
16,17,17
17,18,17
18,19,14
19,20,14
20,21,14
21,22,13
22,23,13
23,24,13
24,25,12
25,26,12
26,27,12
27,28,12
28,29,12
29,30,12
30,31,12
31,32,12
32,33,12
33,34,12
34,35,12
35,36,12
36,37,12
37,38,12
38,39,12
39,40,12
40,41,12
41,42,12
42,43,12
43,44,12
44,45,12
45,46,12
46,47,12
47,48,12
48,49,12
49,50,12
50,51,12
51,52,12
52,53,12
53,54,12
54,55,12
55,56,29
56,57,26
57,58,26
58,59,26
59,60,25
60,61,22
61,62,21
62,63,20
63,64,19
64,65,19
65,66,16
66,67,14
67,68,14
68,69,14
69,70,14
70,71,14
71,72,14
72,73,14
73,74,14
74,75,14
75,76,14
76,77,14
77,78,14
78,79,14
79,80,14
80,81,14
81,82,14
82,83,14
83,84,14
84,85,14
85,86,14
86,87,14
87,88,14
88,89,14
89,90,14
90,91,14
91,92,14
92,93,14
93,94,14
94,95,14
95,96,14
96,97,14
97,98,31
98,99,28
99,100,28
100,101,28
101,102,26
102,103,26
103,104,25
104,105,24
105,106,22
106,107,22
107,108,22
108,109,21
109,110,18
110,111,18
111,112,18
112,113,18
113,114,18
114,115,17
115,116,16
116,117,16
117,118,16
118,119,16
119,120,16
120,121,16
121,122,16
122,123,16
123,124,16
124,125,16
125,126,16
126,127,16
127,128,16
128,129,16
129,130,16
130,131,16
131,132,16
132,133,16
133,134,16
134,135,16
135,136,16
136,137,16
137,138,16
138,139,16
139,140,16
140,141,16
141,142,16
142,143,16
143,144,16
144,145,16
145,146,16
146,147,32
147,148,30
148,149,30
149,150,28
150,151,27
151,152,25
152,153,25
153,154,25
154,155,23
155,156,23
156,157,22
157,158,19
158,159,19
159,160,19
160,161,18
161,162,17
162,163,17
163,164,16
164,165,16
165,166,15
166,167,15
167,168,13
168,169,13
169,170,13
170,171,13
171,172,12
172,173,12
173,174,12
174,175,12
175,176,12
176,177,12
177,178,12
178,179,12
179,180,12
180,181,12
181,182,12
182,183,12
183,184,12
184,185,12
185,186,12
186,187,12
187,188,12
188,189,12
