,Generation,Fitness
0,1,30
1,2,30
2,3,28
3,4,27
4,5,27
5,6,25
6,7,24
7,8,24
8,9,22
9,10,20
10,11,20
11,12,20
12,13,19
13,14,19
14,15,18
15,16,18
16,17,18
17,18,16
18,19,16
19,20,16
20,21,16
21,22,15
22,23,15
23,24,15
24,25,15
25,26,15
26,27,15
27,28,15
28,29,15
29,30,15
30,31,15
31,32,15
32,33,15
33,34,14
34,35,14
35,36,14
36,37,14
37,38,14
38,39,14
39,40,13
40,41,13
41,42,13
42,43,13
43,44,13
44,45,13
45,46,13
46,47,13
47,48,13
48,49,13
49,50,13
50,51,13
51,52,13
52,53,13
53,54,13
54,55,13
55,56,13
56,57,13
57,58,13
58,59,13
59,60,13
60,61,13
61,62,13
62,63,13
63,64,13
64,65,13
65,66,13
66,67,13
67,68,13
68,69,13
69,70,13
70,71,31
71,72,29
72,73,25
73,74,25
74,75,23
75,76,23
76,77,23
77,78,23
78,79,22
79,80,22
80,81,22
81,82,21
82,83,20
83,84,20
84,85,20
85,86,20
86,87,20
87,88,20
88,89,20
89,90,18
90,91,18
91,92,18
92,93,18
93,94,18
94,95,18
95,96,18
96,97,18
97,98,18
98,99,16
99,100,16
100,101,16
101,102,16
102,103,15
103,104,15
104,105,15
105,106,15
106,107,15
107,108,15
108,109,15
109,110,15
110,111,15
111,112,14
112,113,14
113,114,14
114,115,14
115,116,12
116,117,12
117,118,12
118,119,12
119,120,12
120,121,11
121,122,11
122,123,11
123,124,11
124,125,11
125,126,11
126,127,11
127,128,8
128,129,8
129,130,8
130,131,8
131,132,8
132,133,8
133,134,8
134,135,8
135,136,8
136,137,8
137,138,8
138,139,8
139,140,8
140,141,8
141,142,8
142,143,8
143,144,8
144,145,8
145,146,8
146,147,8
147,148,8
148,149,8
149,150,8
150,151,8
151,152,8
152,153,8
153,154,8
154,155,8
155,156,8
156,157,8
157,158,8
158,159,28
159,160,28
160,161,28
161,162,28
162,163,28
163,164,25
164,165,24
165,166,21
166,167,21
167,168,20
168,169,20
169,170,20
170,171,17
171,172,17
172,173,17
173,174,17
174,175,16
175,176,16
176,177,16
177,178,16
178,179,15
179,180,15
180,181,15
181,182,15
182,183,15
183,184,15
184,185,15
185,186,15
186,187,15
187,188,15
188,189,15
189,190,15
190,191,14
191,192,14
192,193,14
193,194,14
194,195,14
195,196,14
196,197,14
