,Generation,Fitness
0,1,32
1,2,28
2,3,28
3,4,27
4,5,27
5,6,23
6,7,23
7,8,21
8,9,21
9,10,21
10,11,19
11,12,19
12,13,19
13,14,19
14,15,17
15,16,16
16,17,16
17,18,15
18,19,15
19,20,14
20,21,13
21,22,13
22,23,12
23,24,12
24,25,12
25,26,11
26,27,10
27,28,9
28,29,9
29,30,9
30,31,9
31,32,7
32,33,7
33,34,7
34,35,7
35,36,7
36,37,7
37,38,7
38,39,7
39,40,7
40,41,7
41,42,7
42,43,7
43,44,7
44,45,7
45,46,7
46,47,7
47,48,7
48,49,7
49,50,7
50,51,7
51,52,7
52,53,7
53,54,7
54,55,7
55,56,7
56,57,7
57,58,7
58,59,7
59,60,7
60,61,7
61,62,7
62,63,30
63,64,30
64,65,30
65,66,28
66,67,28
67,68,28
68,69,26
69,70,26
70,71,24
71,72,24
72,73,21
73,74,21
74,75,20
75,76,20
76,77,19
77,78,18
78,79,17
79,80,17
80,81,17
81,82,16
82,83,15
83,84,15
84,85,15
85,86,15
86,87,15
87,88,14
88,89,14
89,90,14
90,91,14
91,92,10
92,93,10
93,94,10
94,95,10
95,96,10
96,97,10
97,98,10
98,99,10
99,100,7
100,101,7
101,102,7
102,103,7
103,104,7
104,105,7
105,106,6
106,107,6
107,108,6
108,109,6
109,110,6
110,111,6
111,112,6
112,113,6
113,114,6
114,115,6
115,116,6
116,117,6
117,118,6
118,119,6
119,120,6
120,121,6
121,122,6
122,123,6
123,124,6
124,125,6
125,126,6
126,127,6
127,128,6
128,129,6
129,130,6
130,131,6
131,132,6
132,133,6
133,134,6
134,135,6
135,136,6
136,137,32
137,138,31
138,139,31
139,140,30
140,141,30
141,142,25
142,143,25
143,144,25
144,145,24
145,146,23
146,147,23
147,148,21
148,149,18
149,150,18
150,151,16
151,152,16
152,153,16
153,154,15
154,155,15
155,156,14
156,157,14
157,158,12
158,159,12
159,160,12
160,161,12
161,162,12
162,163,11
163,164,11
164,165,10
