,Generation,Fitness
0,1,29
1,2,29
2,3,27
3,4,24
4,5,24
5,6,18
6,7,18
7,8,18
8,9,17
9,10,17
10,11,17
11,12,17
12,13,16
13,14,15
14,15,12
15,16,12
16,17,12
17,18,12
18,19,12
19,20,12
20,21,12
21,22,12
22,23,10
23,24,10
24,25,10
25,26,10
26,27,10
27,28,9
28,29,9
29,30,9
30,31,9
31,32,9
32,33,8
33,34,8
34,35,8
35,36,6
36,37,6
37,38,6
38,39,6
39,40,6
40,41,6
41,42,6
42,43,6
43,44,6
44,45,6
45,46,6
46,47,6
47,48,6
48,49,6
49,50,6
50,51,6
51,52,6
52,53,6
53,54,6
54,55,6
55,56,6
56,57,6
57,58,6
58,59,6
59,60,6
60,61,6
61,62,6
62,63,6
63,64,6
64,65,6
65,66,6
66,67,28
67,68,28
68,69,28
69,70,26
70,71,25
71,72,22
72,73,22
73,74,19
74,75,19
75,76,19
76,77,18
77,78,18
78,79,18
79,80,18
80,81,18
81,82,17
82,83,13
83,84,13
84,85,13
85,86,13
86,87,13
87,88,10
88,89,10
89,90,9
90,91,9
91,92,9
92,93,9
93,94,9
94,95,9
95,96,9
96,97,9
97,98,9
98,99,9
99,100,9
100,101,9
101,102,9
102,103,9
103,104,9
104,105,9
105,106,9
106,107,9
107,108,9
108,109,9
109,110,9
110,111,9
111,112,9
112,113,9
113,114,9
114,115,9
115,116,9
116,117,9
117,118,9
118,119,9
119,120,9
120,121,30
121,122,29
122,123,26
123,124,26
124,125,26
125,126,25
126,127,21
127,128,19
128,129,16
129,130,16
130,131,16
131,132,16
132,133,16
133,134,16
134,135,16
135,136,15
136,137,15
137,138,15
138,139,14
139,140,14
140,141,14
141,142,14
142,143,13
143,144,12
144,145,12
145,146,12
146,147,12
147,148,12
148,149,12
149,150,9
150,151,9
151,152,9
152,153,8
153,154,8
154,155,8
155,156,8
156,157,8
157,158,8
158,159,8
159,160,8
160,161,8
161,162,8
162,163,8
163,164,8
164,165,8
165,166,8
166,167,8
167,168,8
168,169,8
169,170,8
170,171,8
171,172,8
172,173,8
173,174,8
174,175,8
175,176,8
176,177,8
177,178,8
178,179,8
179,180,8
180,181,8
181,182,8
182,183,8
183,184,30
184,185,29
185,186,29
186,187,27
187,188,26
188,189,26
189,190,24
190,191,21
191,192,21
192,193,20
193,194,17
194,195,17
195,196,17
196,197,15
197,198,12
198,199,12
199,200,12
200,201,10
201,202,10
202,203,8
203,204,8
204,205,8
205,206,8
206,207,8
207,208,7
208,209,7
209,210,7
210,211,6
211,212,6
212,213,6
213,214,5
214,215,5
215,216,5
216,217,5
217,218,5
218,219,5
219,220,5
220,221,5
221,222,5
222,223,5
223,224,5
224,225,5
225,226,5
226,227,5
227,228,5
228,229,5
229,230,5
230,231,5
231,232,5
232,233,5
233,234,5
234,235,5
235,236,5
236,237,5
237,238,5
238,239,5
239,240,5
240,241,5
241,242,5
242,243,5
243,244,5
244,245,26
245,246,26
246,247,26
247,248,24
248,249,24
249,250,24
250,251,24
251,252,22
252,253,22
253,254,21
254,255,20
255,256,19
256,257,19
257,258,18
258,259,15
259,260,15
260,261,14
261,262,14
262,263,14
263,264,14
264,265,14
265,266,14
266,267,14
267,268,14
268,269,13
269,270,13
270,271,12
271,272,12
272,273,10
273,274,10
274,275,10
275,276,10
276,277,10
277,278,10
278,279,10
279,280,10
280,281,10
281,282,10
282,283,9
283,284,9
284,285,9
285,286,9
286,287,9
287,288,9
288,289,9
289,290,9
290,291,8
291,292,8
292,293,8
293,294,8
294,295,8
295,296,8
296,297,8
297,298,8
298,299,8
299,300,8
300,301,8
301,302,8
302,303,8
303,304,8
304,305,8
305,306,8
306,307,8
307,308,8
308,309,8
309,310,8
310,311,8
311,312,8
312,313,8
313,314,8
314,315,8
315,316,8
316,317,8
317,318,8
318,319,8
319,320,8
320,321,8
321,322,33
322,323,31
323,324,27
324,325,25
325,326,25
326,327,24
327,328,22
328,329,19
329,330,19
330,331,19
331,332,19
332,333,19
333,334,18
334,335,14
335,336,14
336,337,14
337,338,14
338,339,14
339,340,12
340,341,11
341,342,11
342,343,11
343,344,11
344,345,11
345,346,9
346,347,9
347,348,7
348,349,7
349,350,7
350,351,7
351,352,7
352,353,7
353,354,6
354,355,6
355,356,4
356,357,4
357,358,4
358,359,4
359,360,4
360,361,4
361,362,4
362,363,4
363,364,4
364,365,4
365,366,4
366,367,4
367,368,4
368,369,4
369,370,4
370,371,4
371,372,4
372,373,4
373,374,4
374,375,4
375,376,4
376,377,4
377,378,4
378,379,4
379,380,4
380,381,4
381,382,4
382,383,4
383,384,4
384,385,4
385,386,4
386,387,29
387,388,29
388,389,29
389,390,29
390,391,26
391,392,26
392,393,24
393,394,22
394,395,19
395,396,19
396,397,19
397,398,16
398,399,16
399,400,16
400,401,16
401,402,16
402,403,16
403,404,15
404,405,15
405,406,14
406,407,14
407,408,14
408,409,13
409,410,8
410,411,8
411,412,8
412,413,8
413,414,8
414,415,8
415,416,8
416,417,8
417,418,7
418,419,7
419,420,7
420,421,7
421,422,7
422,423,7
423,424,7
424,425,7
425,426,6
426,427,6
427,428,6
428,429,6
429,430,6
430,431,6
431,432,6
432,433,6
433,434,6
434,435,6
435,436,6
436,437,6
437,438,4
438,439,4
439,440,4
440,441,4
441,442,4
442,443,4
443,444,4
444,445,4
445,446,4
446,447,4
447,448,4
448,449,4
449,450,4
450,451,4
451,452,4
452,453,4
453,454,4
454,455,4
455,456,4
456,457,4
457,458,4
458,459,4
459,460,4
460,461,4
461,462,4
462,463,4
463,464,4
464,465,4
465,466,4
466,467,4
467,468,4
468,469,28
469,470,28
470,471,28
471,472,28
472,473,27
473,474,25
474,475,25
475,476,20
476,477,20
477,478,20
478,479,19
479,480,19
480,481,19
481,482,14
482,483,14
483,484,14
484,485,14
485,486,14
486,487,14
487,488,14
488,489,12
489,490,12
490,491,12
491,492,12
492,493,12
493,494,11
494,495,11
495,496,11
496,497,11
497,498,10
498,499,10
499,500,9
500,501,9
501,502,9
502,503,7
503,504,7
504,505,7
505,506,7
506,507,7
507,508,5
508,509,5
509,510,5
510,511,5
511,512,5
512,513,5
513,514,4
514,515,4
515,516,4
516,517,4
517,518,4
518,519,4
519,520,4
520,521,4
521,522,4
522,523,4
523,524,4
524,525,4
525,526,4
526,527,4
527,528,4
528,529,4
529,530,4
530,531,4
531,532,4
532,533,4
533,534,4
534,535,4
535,536,4
536,537,4
537,538,4
538,539,4
539,540,4
540,541,4
541,542,4
542,543,4
543,544,4
544,545,32
545,546,31
546,547,27
547,548,27
548,549,26
549,550,26
550,551,24
551,552,22
552,553,22
553,554,21
554,555,21
555,556,21
556,557,20
557,558,14
558,559,14
559,560,14
560,561,14
561,562,14
562,563,14
563,564,13
564,565,13
565,566,13
566,567,11
567,568,11
568,569,11
569,570,11
570,571,11
571,572,10
572,573,10
573,574,9
574,575,8
575,576,8
576,577,8
577,578,8
578,579,8
579,580,4
580,581,4
581,582,4
582,583,4
583,584,4
584,585,4
585,586,4
586,587,4
587,588,4
588,589,4
589,590,4
590,591,4
591,592,4
592,593,4
593,594,4
594,595,4
595,596,4
596,597,4
597,598,4
598,599,4
599,600,4
600,601,4
601,602,4
602,603,4
603,604,4
604,605,4
605,606,4
606,607,4
607,608,4
608,609,4
609,610,4
610,611,27
611,612,27
612,613,27
613,614,26
614,615,26
615,616,26
616,617,25
617,618,24
618,619,23
619,620,23
620,621,23
621,622,19
622,623,19
623,624,19
624,625,19
625,626,19
626,627,18
627,628,16
628,629,15
629,630,15
630,631,15
631,632,13
632,633,13
633,634,13
634,635,11
635,636,11
636,637,11
637,638,11
638,639,9
639,640,9
640,641,8
641,642,7
642,643,7
643,644,7
644,645,7
645,646,6
646,647,6
647,648,6
648,649,6
649,650,6
650,651,4
651,652,4
652,653,4
653,654,2
654,655,2
655,656,2
656,657,2
657,658,2
658,659,2
659,660,2
660,661,2
661,662,2
662,663,2
663,664,2
664,665,2
665,666,2
