,Generation,Fitness
0,1,30
1,2,29
2,3,28
3,4,28
4,5,26
5,6,26
6,7,26
7,8,25
8,9,25
9,10,22
10,11,22
11,12,19
12,13,19
13,14,19
14,15,19
15,16,16
16,17,16
17,18,16
18,19,13
19,20,13
20,21,11
21,22,11
22,23,10
23,24,10
24,25,10
25,26,10
26,27,10
27,28,10
28,29,9
29,30,8
30,31,8
31,32,8
32,33,8
33,34,8
34,35,6
35,36,4
36,37,4
37,38,4
38,39,4
39,40,4
40,41,4
41,42,4
42,43,4
43,44,4
44,45,4
45,46,4
46,47,4
47,48,4
48,49,4
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,4
57,58,4
58,59,4
59,60,4
60,61,4
61,62,4
62,63,4
63,64,4
64,65,4
65,66,4
66,67,29
67,68,29
68,69,29
69,70,29
70,71,26
71,72,26
72,73,23
73,74,23
74,75,23
75,76,20
76,77,20
77,78,20
78,79,18
79,80,17
80,81,17
81,82,17
82,83,16
83,84,14
84,85,14
85,86,14
86,87,13
87,88,13
88,89,13
89,90,9
90,91,9
91,92,9
92,93,9
93,94,7
94,95,7
95,96,7
96,97,7
97,98,7
98,99,7
99,100,6
100,101,6
101,102,6
102,103,6
103,104,6
104,105,6
105,106,6
106,107,6
107,108,6
108,109,4
109,110,4
110,111,4
111,112,4
112,113,4
113,114,4
114,115,4
115,116,4
116,117,4
117,118,4
118,119,4
119,120,4
120,121,4
121,122,4
122,123,4
123,124,4
124,125,4
125,126,4
126,127,4
127,128,4
128,129,4
129,130,4
130,131,4
131,132,4
132,133,4
133,134,4
134,135,4
135,136,4
136,137,4
137,138,4
138,139,4
139,140,28
140,141,27
141,142,27
142,143,26
143,144,25
144,145,24
145,146,21
146,147,21
147,148,21
148,149,12
149,150,12
150,151,12
151,152,12
152,153,12
153,154,12
154,155,12
155,156,12
156,157,12
157,158,12
158,159,12
159,160,12
160,161,9
161,162,9
162,163,9
163,164,9
164,165,9
165,166,8
166,167,8
167,168,8
168,169,8
169,170,6
170,171,6
171,172,6
172,173,6
173,174,6
174,175,6
175,176,6
176,177,6
177,178,6
178,179,5
179,180,5
180,181,5
181,182,5
182,183,5
183,184,5
184,185,4
185,186,4
186,187,0
