,Generation,Fitness
0,1,27
1,2,23
2,3,17
3,4,17
4,5,11
5,6,11
6,7,7
7,8,6
8,9,4
9,10,4
10,11,4
11,12,4
12,13,4
13,14,4
14,15,4
15,16,4
16,17,4
17,18,4
18,19,4
19,20,4
20,21,4
21,22,4
22,23,4
23,24,4
24,25,4
25,26,4
26,27,4
27,28,4
28,29,4
29,30,4
30,31,4
31,32,4
32,33,4
33,34,4
34,35,4
35,36,4
36,37,4
37,38,4
38,39,4
39,40,31
40,41,25
41,42,20
42,43,20
43,44,15
44,45,11
45,46,11
46,47,8
47,48,7
48,49,6
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,4
57,58,4
58,59,4
59,60,4
60,61,4
61,62,4
62,63,4
63,64,4
64,65,4
65,66,4
66,67,4
67,68,4
68,69,4
69,70,4
70,71,4
71,72,4
72,73,4
73,74,4
74,75,4
75,76,4
76,77,4
77,78,4
78,79,4
79,80,4
80,81,29
81,82,24
82,83,24
83,84,22
84,85,21
85,86,19
86,87,17
87,88,16
88,89,14
89,90,14
90,91,12
91,92,12
92,93,12
93,94,12
94,95,12
95,96,12
96,97,12
97,98,12
98,99,12
99,100,12
100,101,12
101,102,12
102,103,12
103,104,12
104,105,12
105,106,12
106,107,12
107,108,12
108,109,12
109,110,12
110,111,12
111,112,12
112,113,12
113,114,12
114,115,12
115,116,12
116,117,12
117,118,12
118,119,12
119,120,12
120,121,12
121,122,28
122,123,21
123,124,21
124,125,19
125,126,19
126,127,19
127,128,18
128,129,17
129,130,16
130,131,16
131,132,15
132,133,15
133,134,15
134,135,15
135,136,15
136,137,15
137,138,15
138,139,15
139,140,15
140,141,15
141,142,15
142,143,15
143,144,15
144,145,15
145,146,15
146,147,15
147,148,15
148,149,15
149,150,15
150,151,15
151,152,15
152,153,15
153,154,15
154,155,15
155,156,15
156,157,15
157,158,15
158,159,15
159,160,15
160,161,15
161,162,15
162,163,28
163,164,26
164,165,22
165,166,18
166,167,17
167,168,17
168,169,14
169,170,13
170,171,10
171,172,8
172,173,7
173,174,7
174,175,7
175,176,7
176,177,7
177,178,7
178,179,7
179,180,7
180,181,7
181,182,7
182,183,7
183,184,7
184,185,7
185,186,7
186,187,7
187,188,7
188,189,7
189,190,7
190,191,7
191,192,7
192,193,7
193,194,7
194,195,7
195,196,7
196,197,7
197,198,7
198,199,7
199,200,7
200,201,7
201,202,7
202,203,7
203,204,29
204,205,28
205,206,25
206,207,19
207,208,16
208,209,15
209,210,15
210,211,11
211,212,11
212,213,10
213,214,9
214,215,9
215,216,9
216,217,9
217,218,9
218,219,9
219,220,9
220,221,9
221,222,9
222,223,9
223,224,9
224,225,9
225,226,9
226,227,9
227,228,9
228,229,9
229,230,9
230,231,9
231,232,9
232,233,9
233,234,9
234,235,9
235,236,9
236,237,9
237,238,9
238,239,9
239,240,9
240,241,9
241,242,9
242,243,9
243,244,9
244,245,31
245,246,28
246,247,24
247,248,20
248,249,16
249,250,16
250,251,12
251,252,12
252,253,11
253,254,9
254,255,9
255,256,8
256,257,7
257,258,7
258,259,7
259,260,7
260,261,7
261,262,7
262,263,7
263,264,7
264,265,7
265,266,7
266,267,7
267,268,7
268,269,7
269,270,7
270,271,7
271,272,7
272,273,7
273,274,7
274,275,7
275,276,7
276,277,7
277,278,7
278,279,7
279,280,7
280,281,7
281,282,7
282,283,7
283,284,7
284,285,7
285,286,7
286,287,7
287,288,30
288,289,27
289,290,23
290,291,22
291,292,18
292,293,13
293,294,10
294,295,6
295,296,6
296,297,2
297,298,2
298,299,2
299,300,2
300,301,2
301,302,2
302,303,2
303,304,2
304,305,2
305,306,2
306,307,2
307,308,2
308,309,2
309,310,2
310,311,2
311,312,2
312,313,2
313,314,2
314,315,2
315,316,2
316,317,2
317,318,2
318,319,2
319,320,2
320,321,2
321,322,2
322,323,2
323,324,2
324,325,2
325,326,2
326,327,2
327,328,29
328,329,26
329,330,23
330,331,20
331,332,17
332,333,17
333,334,14
334,335,13
335,336,13
336,337,13
337,338,13
338,339,13
339,340,13
340,341,13
341,342,13
342,343,13
343,344,13
344,345,13
345,346,13
346,347,13
347,348,13
348,349,13
349,350,13
350,351,13
351,352,13
352,353,13
353,354,13
354,355,13
355,356,13
356,357,13
357,358,13
358,359,13
359,360,13
360,361,13
361,362,13
362,363,13
363,364,13
364,365,13
365,366,31
366,367,26
367,368,23
368,369,17
369,370,17
370,371,15
371,372,12
372,373,11
373,374,11
374,375,11
375,376,11
376,377,11
377,378,11
378,379,11
379,380,11
380,381,11
381,382,11
382,383,11
383,384,11
384,385,11
385,386,11
386,387,11
387,388,11
388,389,11
389,390,11
390,391,11
391,392,11
392,393,11
393,394,11
394,395,11
395,396,11
396,397,11
397,398,11
398,399,11
399,400,11
400,401,11
401,402,11
402,403,11
403,404,30
404,405,26
405,406,22
406,407,21
407,408,17
408,409,16
409,410,12
410,411,10
411,412,9
412,413,9
413,414,9
414,415,9
415,416,9
416,417,9
417,418,9
418,419,9
419,420,9
420,421,9
421,422,9
422,423,9
423,424,9
424,425,9
425,426,9
426,427,9
427,428,9
428,429,9
429,430,9
430,431,9
431,432,9
432,433,9
433,434,9
434,435,9
435,436,9
436,437,9
437,438,9
438,439,9
439,440,9
440,441,9
441,442,9
442,443,31
443,444,26
444,445,22
445,446,20
446,447,13
447,448,12
448,449,12
449,450,9
450,451,9
451,452,8
452,453,8
453,454,8
454,455,8
455,456,8
456,457,8
457,458,8
458,459,8
459,460,8
460,461,8
461,462,8
462,463,8
463,464,8
464,465,8
465,466,8
466,467,8
467,468,8
468,469,8
469,470,8
470,471,8
471,472,8
472,473,8
473,474,8
474,475,8
475,476,8
476,477,8
477,478,8
478,479,8
479,480,8
480,481,8
481,482,8
482,483,27
483,484,27
484,485,19
485,486,19
486,487,17
487,488,16
488,489,14
489,490,14
490,491,13
491,492,13
492,493,12
493,494,11
494,495,11
495,496,11
496,497,11
497,498,11
498,499,11
499,500,11
500,501,11
501,502,11
502,503,11
503,504,11
504,505,11
505,506,11
506,507,11
507,508,11
508,509,11
509,510,11
510,511,11
511,512,11
512,513,11
513,514,11
514,515,11
515,516,11
516,517,11
517,518,11
518,519,11
519,520,11
520,521,11
521,522,11
522,523,11
523,524,11
524,525,31
525,526,27
526,527,24
527,528,22
528,529,17
529,530,16
530,531,13
531,532,10
532,533,10
533,534,6
534,535,6
535,536,5
536,537,5
537,538,5
538,539,5
539,540,5
540,541,5
541,542,5
542,543,5
543,544,5
544,545,5
545,546,5
546,547,5
547,548,5
548,549,5
549,550,5
550,551,5
551,552,5
552,553,5
553,554,5
554,555,5
555,556,5
556,557,5
557,558,5
558,559,5
559,560,5
560,561,5
561,562,5
562,563,5
563,564,5
564,565,5
565,566,5
566,567,27
567,568,24
568,569,21
569,570,21
570,571,16
571,572,15
572,573,8
573,574,6
574,575,6
575,576,4
576,577,4
577,578,4
578,579,4
579,580,4
580,581,4
581,582,4
582,583,4
583,584,4
584,585,4
585,586,4
586,587,4
587,588,4
588,589,4
589,590,4
590,591,4
591,592,4
592,593,4
593,594,4
594,595,4
595,596,4
596,597,4
597,598,4
598,599,4
599,600,4
600,601,4
601,602,4
602,603,4
603,604,4
604,605,4
605,606,4
606,607,31
607,608,26
608,609,22
609,610,21
610,611,17
611,612,15
612,613,12
613,614,10
614,615,8
615,616,6
616,617,6
617,618,6
618,619,6
619,620,6
620,621,6
621,622,6
622,623,6
623,624,6
624,625,6
625,626,6
626,627,6
627,628,6
628,629,6
629,630,6
630,631,6
631,632,6
632,633,6
633,634,6
634,635,6
635,636,6
636,637,6
637,638,6
638,639,6
639,640,6
640,641,6
641,642,6
642,643,6
643,644,6
644,645,6
645,646,6
646,647,27
647,648,26
648,649,22
649,650,17
650,651,16
651,652,12
652,653,12
653,654,11
654,655,11
655,656,11
656,657,11
657,658,11
658,659,11
659,660,11
660,661,11
661,662,11
662,663,11
663,664,11
664,665,11
665,666,11
666,667,11
667,668,11
668,669,11
669,670,11
670,671,11
671,672,11
672,673,11
673,674,11
674,675,11
675,676,11
676,677,11
677,678,11
678,679,11
679,680,11
680,681,11
681,682,11
682,683,11
683,684,11
684,685,27
685,686,24
686,687,22
687,688,20
688,689,18
689,690,15
690,691,14
691,692,13
692,693,13
693,694,11
694,695,9
695,696,8
696,697,6
697,698,6
698,699,6
699,700,6
700,701,6
701,702,6
702,703,6
703,704,6
704,705,6
705,706,6
706,707,6
707,708,6
708,709,6
709,710,6
710,711,6
711,712,6
712,713,6
713,714,6
714,715,6
715,716,6
716,717,6
717,718,6
718,719,6
719,720,6
720,721,6
721,722,6
722,723,6
723,724,6
724,725,6
725,726,6
726,727,6
727,728,30
728,729,27
729,730,21
730,731,21
731,732,18
732,733,16
733,734,15
734,735,13
735,736,12
736,737,10
737,738,10
738,739,10
739,740,10
740,741,10
741,742,10
742,743,10
743,744,10
744,745,10
745,746,10
746,747,10
747,748,10
748,749,10
749,750,10
750,751,10
751,752,10
752,753,10
753,754,10
754,755,10
755,756,10
756,757,10
757,758,10
758,759,10
759,760,10
760,761,10
761,762,10
762,763,10
763,764,10
764,765,10
765,766,10
766,767,10
767,768,29
768,769,29
769,770,26
770,771,24
771,772,21
772,773,19
773,774,18
774,775,16
775,776,14
776,777,13
777,778,13
778,779,12
779,780,12
780,781,12
781,782,12
782,783,12
783,784,12
784,785,12
785,786,12
786,787,12
787,788,12
788,789,12
789,790,12
790,791,12
791,792,12
792,793,12
793,794,12
794,795,12
795,796,12
796,797,12
797,798,12
798,799,12
799,800,12
800,801,12
801,802,12
802,803,12
803,804,12
804,805,12
805,806,12
806,807,12
807,808,12
808,809,12
809,810,31
810,811,28
811,812,25
812,813,21
813,814,20
814,815,16
815,816,16
816,817,12
817,818,10
818,819,9
819,820,8
820,821,8
821,822,8
822,823,8
823,824,8
824,825,8
825,826,8
826,827,8
827,828,8
828,829,8
829,830,8
830,831,8
831,832,8
832,833,8
833,834,8
834,835,8
835,836,8
836,837,8
837,838,8
838,839,8
839,840,8
840,841,8
841,842,8
842,843,8
843,844,8
844,845,8
845,846,8
846,847,8
847,848,8
848,849,8
849,850,8
850,851,32
851,852,26
852,853,24
853,854,20
854,855,19
855,856,16
856,857,14
857,858,13
858,859,13
859,860,13
860,861,13
861,862,13
862,863,13
863,864,13
864,865,13
865,866,13
866,867,13
867,868,13
868,869,13
869,870,13
870,871,13
871,872,13
872,873,13
873,874,13
874,875,13
875,876,13
876,877,13
877,878,13
878,879,13
879,880,13
880,881,13
881,882,13
882,883,13
883,884,13
884,885,13
885,886,13
886,887,13
887,888,13
888,889,31
889,890,26
890,891,24
891,892,22
892,893,18
893,894,18
894,895,15
895,896,13
896,897,13
897,898,13
898,899,12
899,900,12
900,901,12
901,902,12
902,903,12
903,904,12
904,905,12
905,906,12
906,907,12
907,908,12
908,909,12
909,910,12
910,911,12
911,912,12
912,913,12
913,914,12
914,915,12
915,916,12
916,917,12
917,918,12
918,919,12
919,920,12
920,921,12
921,922,12
922,923,12
923,924,12
924,925,12
925,926,12
926,927,12
927,928,12
928,929,12
929,930,30
930,931,28
931,932,21
932,933,18
933,934,10
934,935,7
935,936,4
936,937,0
