,Generation,Fitness
0,1,28
1,2,24
2,3,21
3,4,17
4,5,17
5,6,16
6,7,16
7,8,15
8,9,13
9,10,13
10,11,13
11,12,13
12,13,13
13,14,13
14,15,13
15,16,13
16,17,13
17,18,13
18,19,13
19,20,13
20,21,13
21,22,13
22,23,13
23,24,13
24,25,13
25,26,13
26,27,13
27,28,13
28,29,13
29,30,13
30,31,13
31,32,13
32,33,13
33,34,13
34,35,13
35,36,13
36,37,13
37,38,13
38,39,13
39,40,30
40,41,26
41,42,24
42,43,19
43,44,19
44,45,19
45,46,19
46,47,19
47,48,19
48,49,19
49,50,19
50,51,19
51,52,19
52,53,19
53,54,19
54,55,19
55,56,19
56,57,19
57,58,19
58,59,19
59,60,19
60,61,19
61,62,19
62,63,19
63,64,19
64,65,19
65,66,19
66,67,19
67,68,19
68,69,19
69,70,19
70,71,19
71,72,19
72,73,19
73,74,26
74,75,24
75,76,21
76,77,16
77,78,16
78,79,14
79,80,14
80,81,14
81,82,14
82,83,14
83,84,14
84,85,14
85,86,14
86,87,14
87,88,14
88,89,14
89,90,14
90,91,14
91,92,14
92,93,14
93,94,14
94,95,14
95,96,14
96,97,14
97,98,14
98,99,14
99,100,14
100,101,14
101,102,14
102,103,14
103,104,14
104,105,14
105,106,14
106,107,14
107,108,14
108,109,14
109,110,28
110,111,21
111,112,18
112,113,15
113,114,15
114,115,15
115,116,15
116,117,15
117,118,15
118,119,15
119,120,15
120,121,15
121,122,15
122,123,15
123,124,15
124,125,15
125,126,15
126,127,15
127,128,15
128,129,15
129,130,15
130,131,15
131,132,15
132,133,15
133,134,15
134,135,15
135,136,15
136,137,15
137,138,15
138,139,15
139,140,15
140,141,15
141,142,15
142,143,15
143,144,31
144,145,27
145,146,25
146,147,23
147,148,21
148,149,18
149,150,18
150,151,18
151,152,18
152,153,18
153,154,18
154,155,18
155,156,18
156,157,18
157,158,18
158,159,18
159,160,18
160,161,18
161,162,18
162,163,18
163,164,18
164,165,18
165,166,18
166,167,18
167,168,18
168,169,18
169,170,18
170,171,18
171,172,18
172,173,18
173,174,18
174,175,18
175,176,18
176,177,18
177,178,18
178,179,18
179,180,22
180,181,20
181,182,19
182,183,19
183,184,19
184,185,19
185,186,19
186,187,19
187,188,19
188,189,19
189,190,19
190,191,19
191,192,19
192,193,19
193,194,19
194,195,19
195,196,19
196,197,19
197,198,19
198,199,19
199,200,19
200,201,19
201,202,19
202,203,19
203,204,19
204,205,19
205,206,19
206,207,19
207,208,19
208,209,19
209,210,19
210,211,19
211,212,19
212,213,27
213,214,27
214,215,24
215,216,23
216,217,20
217,218,18
218,219,18
219,220,18
220,221,18
221,222,18
222,223,18
223,224,18
224,225,18
225,226,18
226,227,18
227,228,18
228,229,18
229,230,18
230,231,18
231,232,18
232,233,18
233,234,18
234,235,18
235,236,18
236,237,18
237,238,18
238,239,18
239,240,18
240,241,18
241,242,18
242,243,18
243,244,18
244,245,18
245,246,18
246,247,18
247,248,18
248,249,30
249,250,25
250,251,21
251,252,21
252,253,20
253,254,19
254,255,19
255,256,18
256,257,18
257,258,18
258,259,18
259,260,18
260,261,18
261,262,18
262,263,18
263,264,18
264,265,18
265,266,18
266,267,18
267,268,18
268,269,18
269,270,18
270,271,18
271,272,18
272,273,18
273,274,18
274,275,18
275,276,18
276,277,18
277,278,18
278,279,18
279,280,18
280,281,18
281,282,18
282,283,18
283,284,18
284,285,18
285,286,18
286,287,26
287,288,22
288,289,22
289,290,20
290,291,20
291,292,19
292,293,18
293,294,18
294,295,18
295,296,18
296,297,18
297,298,18
298,299,18
299,300,18
300,301,18
301,302,18
302,303,18
303,304,18
304,305,18
305,306,18
306,307,18
307,308,18
308,309,18
309,310,18
310,311,18
311,312,18
312,313,18
313,314,18
314,315,18
315,316,18
316,317,18
317,318,18
318,319,18
319,320,18
320,321,18
321,322,18
322,323,18
323,324,29
324,325,27
325,326,24
326,327,23
327,328,22
328,329,21
329,330,20
330,331,20
331,332,20
332,333,20
333,334,20
334,335,20
335,336,20
336,337,20
337,338,20
338,339,20
339,340,20
340,341,20
341,342,20
342,343,20
343,344,20
344,345,20
345,346,20
346,347,20
347,348,20
348,349,20
349,350,20
350,351,20
351,352,20
352,353,20
353,354,20
354,355,20
355,356,20
356,357,20
357,358,20
358,359,20
359,360,20
360,361,27
361,362,27
362,363,25
363,364,24
364,365,22
365,366,21
366,367,21
367,368,21
368,369,21
369,370,21
370,371,21
371,372,21
372,373,21
373,374,21
374,375,21
375,376,21
376,377,21
377,378,21
378,379,21
379,380,21
380,381,21
381,382,21
382,383,21
383,384,21
384,385,21
385,386,21
386,387,21
387,388,21
388,389,21
389,390,21
390,391,21
391,392,21
392,393,21
393,394,21
394,395,21
395,396,21
396,397,30
397,398,28
398,399,24
399,400,22
400,401,21
401,402,20
402,403,20
403,404,19
404,405,19
405,406,19
406,407,19
407,408,19
408,409,19
409,410,19
410,411,19
411,412,19
412,413,19
413,414,19
414,415,19
415,416,19
416,417,19
417,418,19
418,419,19
419,420,19
420,421,19
421,422,19
422,423,19
423,424,19
424,425,19
425,426,19
426,427,19
427,428,19
428,429,19
429,430,19
430,431,19
431,432,19
432,433,19
433,434,19
434,435,33
435,436,27
436,437,27
437,438,26
438,439,24
439,440,24
440,441,23
441,442,23
442,443,23
443,444,23
444,445,23
445,446,23
446,447,23
447,448,23
448,449,23
449,450,23
450,451,23
451,452,23
452,453,23
453,454,23
454,455,23
455,456,23
456,457,23
457,458,23
458,459,23
459,460,23
460,461,23
461,462,23
462,463,23
463,464,23
464,465,23
465,466,23
466,467,23
467,468,23
468,469,23
469,470,23
470,471,23
471,472,33
472,473,26
473,474,25
474,475,20
475,476,20
476,477,18
477,478,18
478,479,17
479,480,17
480,481,17
481,482,17
482,483,17
483,484,17
484,485,17
485,486,17
486,487,17
487,488,17
488,489,17
489,490,17
490,491,17
491,492,17
492,493,17
493,494,17
494,495,17
495,496,17
496,497,17
497,498,17
498,499,17
499,500,17
