,Generation,Fitness
0,1,24
1,2,21
2,3,20
3,4,18
4,5,17
5,6,16
6,7,16
7,8,16
8,9,14
9,10,14
10,11,14
11,12,12
12,13,10
13,14,10
14,15,10
15,16,10
16,17,10
17,18,10
18,19,10
19,20,10
20,21,10
21,22,10
22,23,10
23,24,10
24,25,10
25,26,10
26,27,10
27,28,10
28,29,10
29,30,10
30,31,10
31,32,10
32,33,10
33,34,10
34,35,10
35,36,10
36,37,10
37,38,10
38,39,10
39,40,7
40,41,7
41,42,7
42,43,7
43,44,7
44,45,7
45,46,7
46,47,7
47,48,7
48,49,7
49,50,7
50,51,7
51,52,7
52,53,7
53,54,7
54,55,7
55,56,7
56,57,7
57,58,7
58,59,6
59,60,6
60,61,6
61,62,6
62,63,6
63,64,6
64,65,6
65,66,6
66,67,6
67,68,6
68,69,6
69,70,6
70,71,6
71,72,6
72,73,6
73,74,6
74,75,6
75,76,6
76,77,6
77,78,6
78,79,6
79,80,6
80,81,6
81,82,6
82,83,6
83,84,6
84,85,6
85,86,6
86,87,6
87,88,6
88,89,6
89,90,29
90,91,26
91,92,20
92,93,19
93,94,19
94,95,16
95,96,15
96,97,14
97,98,14
98,99,14
99,100,14
100,101,12
101,102,12
102,103,12
103,104,12
104,105,12
105,106,12
106,107,12
107,108,12
108,109,11
109,110,11
110,111,11
111,112,11
112,113,11
113,114,11
114,115,10
115,116,10
116,117,10
117,118,10
118,119,10
119,120,10
120,121,10
121,122,10
122,123,10
123,124,10
124,125,10
125,126,10
126,127,10
127,128,10
128,129,10
129,130,10
130,131,10
131,132,10
132,133,10
133,134,10
134,135,9
135,136,9
136,137,9
137,138,9
138,139,8
139,140,8
140,141,8
141,142,8
142,143,8
143,144,8
144,145,8
145,146,8
146,147,8
147,148,8
148,149,8
149,150,8
150,151,8
151,152,8
152,153,8
153,154,8
154,155,8
155,156,8
156,157,8
157,158,8
158,159,8
159,160,8
160,161,8
161,162,8
162,163,8
163,164,8
164,165,8
165,166,8
166,167,8
167,168,8
168,169,8
169,170,31
170,171,25
171,172,24
172,173,22
173,174,22
174,175,22
175,176,21
176,177,21
177,178,21
178,179,21
179,180,21
180,181,21
181,182,20
182,183,20
183,184,20
184,185,20
185,186,20
186,187,20
187,188,20
188,189,20
189,190,20
190,191,20
191,192,20
192,193,20
193,194,20
194,195,20
195,196,19
196,197,19
197,198,19
198,199,19
199,200,19
200,201,19
201,202,19
202,203,17
203,204,17
204,205,17
205,206,17
206,207,17
207,208,17
208,209,17
209,210,17
210,211,17
211,212,17
212,213,17
213,214,17
214,215,17
215,216,17
216,217,17
217,218,16
218,219,16
219,220,16
220,221,16
221,222,16
222,223,16
223,224,16
224,225,16
225,226,16
226,227,16
227,228,16
228,229,16
229,230,16
230,231,16
231,232,16
232,233,16
233,234,16
234,235,11
235,236,11
236,237,11
237,238,11
238,239,11
239,240,11
240,241,11
241,242,11
242,243,11
243,244,11
244,245,11
245,246,11
246,247,11
247,248,11
248,249,11
249,250,11
250,251,11
251,252,11
252,253,11
253,254,11
254,255,11
255,256,11
256,257,11
257,258,11
258,259,11
259,260,11
260,261,11
261,262,11
262,263,11
263,264,11
264,265,11
265,266,29
266,267,27
267,268,25
268,269,22
269,270,19
270,271,19
271,272,17
272,273,17
273,274,15
274,275,15
275,276,15
276,277,15
277,278,15
278,279,15
279,280,15
280,281,15
281,282,15
282,283,15
283,284,15
284,285,15
285,286,15
286,287,15
287,288,14
288,289,14
289,290,12
290,291,12
291,292,12
292,293,12
293,294,12
294,295,12
295,296,12
296,297,12
297,298,11
298,299,11
299,300,11
300,301,10
301,302,10
302,303,10
303,304,10
304,305,10
305,306,10
306,307,10
307,308,10
308,309,10
309,310,10
310,311,10
311,312,9
312,313,9
313,314,9
314,315,9
315,316,9
316,317,9
317,318,9
318,319,9
319,320,9
320,321,9
321,322,9
322,323,9
323,324,9
324,325,9
325,326,9
326,327,9
327,328,9
328,329,9
329,330,9
330,331,9
331,332,9
332,333,9
333,334,9
334,335,9
335,336,9
336,337,9
337,338,9
338,339,9
339,340,9
340,341,9
341,342,9
342,343,31
343,344,27
344,345,24
345,346,22
346,347,19
347,348,18
348,349,18
349,350,17
350,351,17
351,352,17
352,353,17
353,354,15
354,355,15
355,356,15
356,357,15
357,358,14
358,359,14
359,360,14
360,361,14
361,362,14
362,363,13
363,364,13
364,365,13
365,366,13
366,367,13
367,368,13
368,369,13
369,370,13
370,371,13
371,372,13
372,373,12
373,374,12
374,375,12
375,376,12
376,377,12
377,378,12
378,379,12
379,380,12
380,381,12
381,382,12
382,383,12
383,384,12
384,385,12
385,386,12
386,387,9
387,388,9
388,389,9
389,390,9
390,391,9
391,392,9
392,393,9
393,394,9
394,395,9
395,396,9
396,397,9
397,398,9
398,399,9
399,400,9
400,401,9
401,402,9
402,403,9
403,404,9
404,405,9
405,406,9
406,407,9
407,408,9
408,409,9
409,410,9
410,411,9
411,412,9
412,413,9
413,414,9
414,415,9
415,416,9
416,417,9
417,418,30
418,419,27
419,420,21
420,421,21
421,422,19
422,423,19
423,424,18
424,425,17
425,426,17
426,427,17
427,428,17
428,429,14
429,430,14
430,431,12
431,432,12
432,433,12
433,434,12
434,435,12
435,436,12
436,437,12
437,438,12
438,439,12
439,440,12
440,441,12
441,442,12
442,443,12
443,444,12
444,445,11
445,446,11
446,447,11
447,448,11
448,449,11
449,450,11
450,451,11
451,452,11
452,453,11
453,454,11
454,455,11
455,456,11
456,457,11
457,458,11
458,459,11
459,460,11
460,461,11
461,462,11
462,463,11
463,464,11
464,465,11
465,466,11
466,467,11
467,468,11
468,469,10
469,470,10
470,471,10
471,472,10
472,473,10
473,474,10
474,475,10
475,476,10
476,477,10
477,478,10
478,479,10
479,480,10
480,481,10
481,482,10
482,483,10
483,484,10
484,485,10
485,486,10
486,487,10
487,488,10
488,489,10
489,490,10
490,491,10
491,492,10
492,493,10
493,494,10
494,495,10
495,496,10
496,497,10
497,498,10
498,499,10
499,500,27
500,501,25
501,502,24
502,503,22
503,504,20
504,505,19
505,506,17
506,507,16
507,508,16
508,509,16
509,510,16
510,511,16
511,512,16
512,513,16
513,514,16
514,515,16
515,516,16
516,517,16
517,518,16
518,519,16
519,520,15
520,521,15
521,522,15
522,523,14
523,524,14
524,525,14
525,526,13
526,527,13
527,528,13
528,529,13
529,530,13
530,531,13
531,532,13
532,533,13
533,534,13
534,535,13
535,536,13
536,537,13
537,538,13
538,539,13
539,540,13
540,541,13
541,542,13
542,543,13
543,544,12
544,545,12
545,546,12
546,547,12
547,548,12
548,549,12
549,550,12
550,551,12
551,552,12
552,553,12
553,554,12
554,555,12
555,556,12
556,557,11
557,558,11
558,559,11
559,560,11
560,561,11
561,562,9
562,563,9
563,564,9
564,565,9
565,566,9
566,567,9
567,568,9
568,569,9
569,570,9
570,571,9
571,572,9
572,573,9
573,574,9
574,575,9
575,576,9
576,577,9
577,578,9
578,579,9
579,580,9
580,581,9
581,582,8
582,583,8
583,584,8
584,585,8
585,586,8
586,587,8
587,588,8
588,589,8
589,590,8
590,591,8
591,592,8
592,593,8
593,594,8
594,595,8
595,596,8
596,597,8
597,598,8
598,599,8
599,600,8
600,601,8
601,602,8
602,603,8
603,604,8
604,605,8
605,606,8
606,607,8
607,608,8
608,609,8
609,610,8
610,611,8
611,612,8
612,613,28
613,614,25
614,615,22
615,616,19
616,617,17
617,618,17
618,619,16
619,620,16
620,621,16
621,622,16
622,623,16
623,624,16
624,625,15
625,626,15
626,627,12
627,628,12
628,629,12
629,630,12
630,631,12
631,632,12
632,633,12
633,634,12
634,635,12
635,636,12
636,637,12
637,638,12
638,639,12
639,640,11
640,641,11
641,642,11
642,643,11
643,644,11
644,645,11
645,646,11
646,647,11
647,648,11
648,649,11
649,650,11
650,651,11
651,652,11
652,653,11
653,654,11
654,655,11
655,656,11
656,657,11
657,658,11
658,659,10
659,660,10
660,661,10
661,662,10
662,663,10
663,664,10
664,665,10
665,666,10
666,667,10
667,668,10
668,669,10
669,670,10
670,671,10
671,672,10
672,673,10
673,674,8
674,675,8
675,676,8
676,677,8
677,678,8
678,679,8
679,680,8
680,681,8
681,682,8
682,683,8
683,684,8
684,685,8
685,686,8
686,687,8
687,688,8
688,689,8
689,690,8
690,691,8
691,692,8
692,693,8
693,694,8
694,695,8
695,696,8
696,697,8
697,698,8
698,699,8
699,700,8
700,701,7
701,702,7
702,703,7
703,704,7
704,705,7
705,706,7
706,707,7
707,708,7
708,709,7
709,710,7
710,711,7
711,712,7
712,713,7
713,714,7
714,715,7
715,716,7
716,717,7
717,718,7
718,719,7
719,720,7
720,721,7
721,722,7
722,723,7
723,724,7
724,725,7
725,726,7
726,727,7
727,728,7
728,729,7
729,730,7
730,731,7
731,732,30
732,733,27
733,734,22
734,735,22
735,736,20
736,737,19
737,738,18
738,739,18
739,740,16
740,741,16
741,742,16
742,743,16
743,744,16
744,745,16
745,746,16
746,747,16
747,748,16
748,749,16
749,750,15
750,751,14
751,752,12
752,753,12
753,754,12
754,755,12
755,756,12
756,757,12
757,758,12
758,759,12
759,760,12
760,761,12
761,762,12
762,763,11
763,764,11
764,765,11
