,Generation,Fitness
0,1,26
1,2,26
2,3,23
3,4,22
4,5,21
5,6,21
6,7,21
7,8,20
8,9,19
9,10,19
10,11,19
11,12,15
12,13,15
13,14,15
14,15,15
15,16,14
16,17,14
17,18,14
18,19,13
19,20,13
20,21,13
21,22,13
22,23,13
23,24,13
24,25,13
25,26,13
26,27,13
27,28,13
28,29,13
29,30,13
30,31,13
31,32,13
32,33,13
33,34,13
34,35,13
35,36,13
36,37,13
37,38,13
38,39,13
39,40,13
40,41,13
41,42,13
42,43,13
43,44,13
44,45,13
45,46,13
46,47,8
47,48,8
48,49,8
49,50,8
50,51,8
51,52,8
52,53,8
53,54,8
54,55,8
55,56,8
56,57,8
57,58,8
58,59,8
59,60,8
60,61,8
61,62,8
62,63,8
63,64,8
64,65,8
65,66,8
66,67,8
67,68,8
68,69,8
69,70,8
70,71,8
71,72,8
72,73,8
73,74,8
74,75,8
75,76,8
76,77,8
77,78,32
78,79,24
79,80,18
80,81,18
81,82,16
82,83,16
83,84,13
84,85,13
85,86,13
86,87,13
87,88,13
88,89,13
89,90,13
90,91,13
91,92,13
92,93,13
93,94,13
94,95,13
95,96,13
96,97,13
97,98,13
98,99,13
99,100,13
100,101,13
101,102,13
102,103,13
103,104,13
104,105,13
105,106,13
106,107,13
107,108,13
108,109,13
109,110,13
110,111,13
111,112,13
112,113,13
113,114,13
114,115,30
115,116,27
116,117,24
117,118,22
118,119,20
119,120,18
120,121,18
121,122,17
122,123,16
123,124,16
124,125,15
125,126,15
126,127,15
127,128,13
128,129,13
129,130,13
130,131,13
131,132,13
132,133,12
133,134,12
134,135,12
135,136,12
136,137,11
137,138,11
138,139,11
139,140,10
140,141,10
141,142,10
142,143,10
143,144,10
144,145,10
145,146,9
146,147,9
147,148,7
148,149,7
149,150,7
150,151,6
151,152,6
152,153,4
153,154,4
154,155,4
155,156,4
156,157,4
157,158,4
158,159,4
159,160,4
160,161,4
161,162,4
162,163,4
163,164,4
164,165,4
165,166,4
166,167,4
167,168,4
168,169,4
169,170,4
170,171,4
171,172,4
172,173,4
173,174,4
174,175,4
175,176,4
176,177,4
177,178,4
178,179,4
179,180,4
180,181,4
181,182,4
182,183,4
183,184,29
184,185,27
185,186,25
186,187,23
187,188,22
188,189,20
189,190,20
190,191,19
191,192,18
192,193,17
193,194,16
194,195,15
195,196,15
196,197,14
197,198,14
198,199,12
199,200,12
200,201,12
201,202,12
202,203,12
203,204,12
204,205,12
205,206,12
206,207,12
207,208,12
208,209,12
209,210,12
210,211,12
211,212,12
212,213,12
213,214,12
214,215,12
215,216,12
216,217,12
217,218,12
218,219,12
219,220,12
220,221,12
221,222,12
222,223,12
223,224,12
224,225,12
225,226,12
226,227,12
227,228,12
228,229,12
229,230,28
230,231,26
231,232,25
232,233,23
233,234,22
234,235,20
235,236,18
236,237,16
237,238,16
238,239,16
239,240,16
240,241,16
241,242,16
242,243,15
243,244,13
244,245,12
245,246,12
246,247,12
247,248,12
248,249,10
249,250,10
250,251,10
251,252,10
252,253,10
253,254,10
254,255,8
255,256,8
256,257,8
257,258,8
258,259,8
259,260,8
260,261,8
261,262,8
262,263,8
263,264,8
264,265,8
265,266,8
266,267,8
267,268,8
268,269,8
269,270,8
270,271,8
271,272,8
272,273,8
273,274,8
274,275,8
275,276,8
276,277,8
277,278,8
278,279,8
279,280,8
280,281,8
281,282,8
282,283,8
283,284,8
284,285,8
285,286,32
286,287,26
287,288,22
288,289,22
289,290,19
290,291,18
291,292,16
292,293,16
293,294,14
294,295,13
295,296,11
296,297,11
297,298,9
298,299,9
299,300,9
300,301,9
301,302,9
302,303,7
303,304,7
304,305,6
305,306,6
306,307,5
307,308,5
308,309,4
309,310,4
310,311,0
