,Generation,Fitness
0,1,21
1,2,21
2,3,16
3,4,13
4,5,13
5,6,11
6,7,11
7,8,11
8,9,11
9,10,11
10,11,11
11,12,11
12,13,11
13,14,11
14,15,11
15,16,11
16,17,11
17,18,11
18,19,11
19,20,11
20,21,11
21,22,11
22,23,11
23,24,11
24,25,11
25,26,11
26,27,11
27,28,11
28,29,11
29,30,11
30,31,11
31,32,11
32,33,11
33,34,11
34,35,11
35,36,11
36,37,32
37,38,27
38,39,22
39,40,21
40,41,18
41,42,17
42,43,16
43,44,15
44,45,13
45,46,11
46,47,10
47,48,10
48,49,10
49,50,10
50,51,10
51,52,10
52,53,10
53,54,10
54,55,10
55,56,10
56,57,10
57,58,10
58,59,10
59,60,10
60,61,10
61,62,10
62,63,10
63,64,10
64,65,10
65,66,10
66,67,10
67,68,10
68,69,10
69,70,10
70,71,10
71,72,10
72,73,10
73,74,10
74,75,10
75,76,10
76,77,10
77,78,31
78,79,26
79,80,22
80,81,21
81,82,18
82,83,15
83,84,15
84,85,12
85,86,11
86,87,10
87,88,8
88,89,8
89,90,8
90,91,8
91,92,8
92,93,8
93,94,8
94,95,8
95,96,8
96,97,8
97,98,8
98,99,8
99,100,8
100,101,8
101,102,8
102,103,8
103,104,8
104,105,8
105,106,8
106,107,8
107,108,8
108,109,8
109,110,8
110,111,8
111,112,8
112,113,8
113,114,8
114,115,8
115,116,8
116,117,8
117,118,8
118,119,30
119,120,26
120,121,23
121,122,21
122,123,17
123,124,14
124,125,12
125,126,10
126,127,6
127,128,6
128,129,6
129,130,6
130,131,4
131,132,4
132,133,4
133,134,4
134,135,4
135,136,4
136,137,4
137,138,4
138,139,4
139,140,4
140,141,4
141,142,4
142,143,4
143,144,4
144,145,4
145,146,4
146,147,4
147,148,4
148,149,4
149,150,4
150,151,4
151,152,4
152,153,4
153,154,4
154,155,4
155,156,4
156,157,4
157,158,4
158,159,4
159,160,4
160,161,4
161,162,26
162,163,25
163,164,22
164,165,18
165,166,18
166,167,14
167,168,12
168,169,10
169,170,10
170,171,10
171,172,10
172,173,10
173,174,10
174,175,10
175,176,10
176,177,10
177,178,10
178,179,10
179,180,10
180,181,10
181,182,10
182,183,10
183,184,10
184,185,10
185,186,10
186,187,10
187,188,10
188,189,10
189,190,10
190,191,10
191,192,10
192,193,10
193,194,10
194,195,10
195,196,10
196,197,10
197,198,10
198,199,10
199,200,28
200,201,26
201,202,22
202,203,20
203,204,15
204,205,12
205,206,10
206,207,7
207,208,6
208,209,6
209,210,6
210,211,6
211,212,6
212,213,6
213,214,6
214,215,6
215,216,6
216,217,6
217,218,6
218,219,6
219,220,6
220,221,6
221,222,6
222,223,6
223,224,6
224,225,6
225,226,6
226,227,6
227,228,6
228,229,6
229,230,6
230,231,6
231,232,6
232,233,6
233,234,6
234,235,6
235,236,6
236,237,6
237,238,6
238,239,30
239,240,27
240,241,22
241,242,20
242,243,16
243,244,14
244,245,12
245,246,10
246,247,8
247,248,8
248,249,8
249,250,8
250,251,8
251,252,8
252,253,8
253,254,8
254,255,8
255,256,8
256,257,8
257,258,8
258,259,8
259,260,8
260,261,8
261,262,8
262,263,8
263,264,8
264,265,8
265,266,8
266,267,8
267,268,8
268,269,8
269,270,8
270,271,8
271,272,8
272,273,8
273,274,8
274,275,8
275,276,8
276,277,8
277,278,27
278,279,17
279,280,17
280,281,12
281,282,11
282,283,10
283,284,6
284,285,4
285,286,4
286,287,4
287,288,4
288,289,4
289,290,4
290,291,4
291,292,4
292,293,4
293,294,4
294,295,4
295,296,4
296,297,4
297,298,4
298,299,4
299,300,4
300,301,4
301,302,4
302,303,4
303,304,4
304,305,4
305,306,4
306,307,4
307,308,4
308,309,4
309,310,4
310,311,4
311,312,4
312,313,4
313,314,4
314,315,4
315,316,26
316,317,26
317,318,22
318,319,17
319,320,13
320,321,11
321,322,9
322,323,8
323,324,8
324,325,8
325,326,8
326,327,8
327,328,8
328,329,8
329,330,8
330,331,8
331,332,8
332,333,8
333,334,8
334,335,8
335,336,8
336,337,8
337,338,8
338,339,8
339,340,8
340,341,8
341,342,8
342,343,8
343,344,8
344,345,8
345,346,8
346,347,8
347,348,8
348,349,8
349,350,8
350,351,8
351,352,8
352,353,8
353,354,31
354,355,27
355,356,22
356,357,18
357,358,16
358,359,15
359,360,10
360,361,10
361,362,8
362,363,8
363,364,8
364,365,8
365,366,8
366,367,8
367,368,8
368,369,8
369,370,8
370,371,8
371,372,8
372,373,8
373,374,8
374,375,8
375,376,8
376,377,8
377,378,8
378,379,8
379,380,8
380,381,8
381,382,8
382,383,8
383,384,8
384,385,8
385,386,8
386,387,8
387,388,8
388,389,8
389,390,8
390,391,8
391,392,8
392,393,29
393,394,25
394,395,24
395,396,22
396,397,18
397,398,15
398,399,14
399,400,9
400,401,9
401,402,9
402,403,9
403,404,9
404,405,9
405,406,9
406,407,9
407,408,9
408,409,9
409,410,9
410,411,9
411,412,9
412,413,9
413,414,9
414,415,9
415,416,9
416,417,9
417,418,9
418,419,9
419,420,9
420,421,9
421,422,9
422,423,9
423,424,9
424,425,9
425,426,9
426,427,9
427,428,9
428,429,9
429,430,9
430,431,31
431,432,27
432,433,24
433,434,22
434,435,18
435,436,16
436,437,12
437,438,12
438,439,9
439,440,9
440,441,7
441,442,7
442,443,7
443,444,7
444,445,7
445,446,7
446,447,7
447,448,7
448,449,7
449,450,7
450,451,7
451,452,7
452,453,7
453,454,7
454,455,7
455,456,7
456,457,7
457,458,7
458,459,7
459,460,7
460,461,7
461,462,7
462,463,7
463,464,7
464,465,7
465,466,7
466,467,7
467,468,7
468,469,7
469,470,7
470,471,7
471,472,31
472,473,27
473,474,23
474,475,20
475,476,19
476,477,17
477,478,17
478,479,15
479,480,14
480,481,13
481,482,13
482,483,12
483,484,12
484,485,12
485,486,12
486,487,12
487,488,12
488,489,12
489,490,12
490,491,12
491,492,12
492,493,12
493,494,12
494,495,12
495,496,12
496,497,12
497,498,12
498,499,12
499,500,12
500,501,12
501,502,12
502,503,12
503,504,12
504,505,12
505,506,12
506,507,12
507,508,12
508,509,12
509,510,12
510,511,12
511,512,12
512,513,12
513,514,27
514,515,25
515,516,25
516,517,20
517,518,18
518,519,18
519,520,16
520,521,15
521,522,15
522,523,15
523,524,15
524,525,15
525,526,15
526,527,15
527,528,15
528,529,15
529,530,15
530,531,15
531,532,15
532,533,15
533,534,15
534,535,15
535,536,15
536,537,15
537,538,15
538,539,15
539,540,15
540,541,15
541,542,15
542,543,15
543,544,15
544,545,15
545,546,15
546,547,15
547,548,15
548,549,15
549,550,15
550,551,15
551,552,31
552,553,26
553,554,23
554,555,19
555,556,15
556,557,15
557,558,10
558,559,9
559,560,6
560,561,6
561,562,6
562,563,6
563,564,6
564,565,6
565,566,6
566,567,6
567,568,6
568,569,6
569,570,6
570,571,6
571,572,6
572,573,6
573,574,6
574,575,6
575,576,6
576,577,6
577,578,6
578,579,6
579,580,6
580,581,6
581,582,6
582,583,6
583,584,6
584,585,6
585,586,6
586,587,6
587,588,6
588,589,6
589,590,6
590,591,30
591,592,25
592,593,21
593,594,18
594,595,16
595,596,14
596,597,12
597,598,7
598,599,7
599,600,7
600,601,7
601,602,7
602,603,7
603,604,7
604,605,7
605,606,7
606,607,7
607,608,7
608,609,7
609,610,7
610,611,7
611,612,7
612,613,7
613,614,7
614,615,7
615,616,7
616,617,7
617,618,7
618,619,7
619,620,7
620,621,7
621,622,7
622,623,7
623,624,7
624,625,7
625,626,7
626,627,7
627,628,7
628,629,30
629,630,24
630,631,23
631,632,23
632,633,22
633,634,22
634,635,19
635,636,17
636,637,15
637,638,14
638,639,12
639,640,11
640,641,11
641,642,11
642,643,11
643,644,11
644,645,11
645,646,11
646,647,11
647,648,11
648,649,11
649,650,11
650,651,11
651,652,11
652,653,11
653,654,11
654,655,11
655,656,11
656,657,11
657,658,11
658,659,11
659,660,11
660,661,11
661,662,11
662,663,11
663,664,11
664,665,11
665,666,11
666,667,11
667,668,11
668,669,11
669,670,11
670,671,32
671,672,27
672,673,24
673,674,21
674,675,19
675,676,10
676,677,10
677,678,10
678,679,8
679,680,8
680,681,8
681,682,8
682,683,8
683,684,8
684,685,8
685,686,8
686,687,8
687,688,8
688,689,8
689,690,8
690,691,8
691,692,8
692,693,8
693,694,8
694,695,8
695,696,8
696,697,8
697,698,8
698,699,8
699,700,8
700,701,8
701,702,8
702,703,8
703,704,8
704,705,8
705,706,8
706,707,8
707,708,8
708,709,8
709,710,30
710,711,23
711,712,22
712,713,18
713,714,15
714,715,12
715,716,12
716,717,12
717,718,12
718,719,12
719,720,12
720,721,12
721,722,12
722,723,12
723,724,12
724,725,12
725,726,12
726,727,12
727,728,12
728,729,12
729,730,12
730,731,12
731,732,12
732,733,12
733,734,12
734,735,12
735,736,12
736,737,12
737,738,12
738,739,12
739,740,12
740,741,12
741,742,12
742,743,12
743,744,12
744,745,12
745,746,33
746,747,27
747,748,26
748,749,25
749,750,22
750,751,19
751,752,14
752,753,13
753,754,11
754,755,10
755,756,10
756,757,10
757,758,10
758,759,10
759,760,10
760,761,10
761,762,10
762,763,10
763,764,10
764,765,10
765,766,10
766,767,10
767,768,10
768,769,10
769,770,10
770,771,10
771,772,10
772,773,10
773,774,10
774,775,10
775,776,10
776,777,10
777,778,10
778,779,10
779,780,10
780,781,10
781,782,10
782,783,10
783,784,10
784,785,10
785,786,30
786,787,26
787,788,24
788,789,21
789,790,18
790,791,16
791,792,15
792,793,14
793,794,13
794,795,13
795,796,13
796,797,13
797,798,13
798,799,13
799,800,13
800,801,13
801,802,13
802,803,13
803,804,13
804,805,13
805,806,13
806,807,13
807,808,13
808,809,13
809,810,13
810,811,13
811,812,13
812,813,13
813,814,13
814,815,13
815,816,13
816,817,13
817,818,13
818,819,13
819,820,13
820,821,13
821,822,13
822,823,13
823,824,13
824,825,30
825,826,26
826,827,20
827,828,19
828,829,13
829,830,13
830,831,12
831,832,11
832,833,11
833,834,11
834,835,11
835,836,11
836,837,11
837,838,11
838,839,11
839,840,11
840,841,11
841,842,11
842,843,11
843,844,11
844,845,11
845,846,11
846,847,11
847,848,11
848,849,11
849,850,11
850,851,11
851,852,11
852,853,11
853,854,11
854,855,11
855,856,11
856,857,11
857,858,11
858,859,11
859,860,11
860,861,11
861,862,11
862,863,30
863,864,27
864,865,24
865,866,23
866,867,19
867,868,15
868,869,12
869,870,10
870,871,7
871,872,7
872,873,6
873,874,6
874,875,6
875,876,6
876,877,6
877,878,6
878,879,6
879,880,6
880,881,6
881,882,6
882,883,6
883,884,6
884,885,6
885,886,6
886,887,6
887,888,6
888,889,6
889,890,6
890,891,6
891,892,6
892,893,6
893,894,6
894,895,6
895,896,6
896,897,6
897,898,6
898,899,6
899,900,6
900,901,6
901,902,6
902,903,6
903,904,30
904,905,28
905,906,26
906,907,23
907,908,21
908,909,16
909,910,14
910,911,12
911,912,12
912,913,12
913,914,12
914,915,12
915,916,12
916,917,12
917,918,12
918,919,12
919,920,12
920,921,12
921,922,12
922,923,12
923,924,12
924,925,12
925,926,12
926,927,12
927,928,12
928,929,12
929,930,12
930,931,12
931,932,12
932,933,12
933,934,12
934,935,12
935,936,12
936,937,12
937,938,12
938,939,12
939,940,12
940,941,12
941,942,30
942,943,28
943,944,25
944,945,22
945,946,20
946,947,16
947,948,15
948,949,12
949,950,12
950,951,9
951,952,6
952,953,6
953,954,6
954,955,6
955,956,6
956,957,6
957,958,6
958,959,6
959,960,6
960,961,6
961,962,6
962,963,6
963,964,6
964,965,6
965,966,6
966,967,6
967,968,6
968,969,6
969,970,6
