,Generation,Fitness
0,1,29
1,2,26
2,3,20
3,4,19
4,5,15
5,6,15
6,7,15
7,8,15
8,9,15
9,10,14
10,11,14
11,12,14
12,13,13
13,14,13
14,15,13
15,16,12
16,17,12
17,18,12
18,19,12
19,20,12
20,21,11
21,22,11
22,23,9
23,24,9
24,25,9
25,26,9
26,27,9
27,28,8
28,29,8
29,30,7
30,31,7
31,32,7
32,33,7
33,34,4
34,35,4
35,36,4
36,37,4
37,38,4
38,39,4
39,40,4
40,41,4
41,42,4
42,43,4
43,44,4
44,45,4
45,46,4
46,47,4
47,48,4
48,49,4
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,4
57,58,4
58,59,4
59,60,4
60,61,4
61,62,4
62,63,4
63,64,4
64,65,33
65,66,24
66,67,24
67,68,18
68,69,14
69,70,14
70,71,10
71,72,10
72,73,7
73,74,5
74,75,5
75,76,5
76,77,4
77,78,3
78,79,2
79,80,2
80,81,2
81,82,2
82,83,2
83,84,2
84,85,2
85,86,2
86,87,2
87,88,2
88,89,2
89,90,2
90,91,2
91,92,2
92,93,2
93,94,2
94,95,2
95,96,2
96,97,2
97,98,2
98,99,2
99,100,2
100,101,2
101,102,2
102,103,2
103,104,2
104,105,2
105,106,2
106,107,2
107,108,2
108,109,2
109,110,30
110,111,26
111,112,24
112,113,16
113,114,15
114,115,14
115,116,13
116,117,12
117,118,10
118,119,10
119,120,10
120,121,10
121,122,10
122,123,10
123,124,9
124,125,9
125,126,9
126,127,9
127,128,9
128,129,9
129,130,9
130,131,9
131,132,9
132,133,9
133,134,9
134,135,9
135,136,9
136,137,9
137,138,9
138,139,9
139,140,9
140,141,9
141,142,9
142,143,9
143,144,9
144,145,9
145,146,9
146,147,9
147,148,9
148,149,9
149,150,9
150,151,9
151,152,9
152,153,9
153,154,9
154,155,31
155,156,25
156,157,24
157,158,21
158,159,19
159,160,18
160,161,16
161,162,16
162,163,14
163,164,14
164,165,13
165,166,13
166,167,13
167,168,13
168,169,13
169,170,13
170,171,12
171,172,12
172,173,12
173,174,12
174,175,10
175,176,10
176,177,10
177,178,10
178,179,10
179,180,10
180,181,10
181,182,10
182,183,10
183,184,10
184,185,10
185,186,10
186,187,10
187,188,10
188,189,10
189,190,10
190,191,10
191,192,10
192,193,10
193,194,10
194,195,10
195,196,10
196,197,10
197,198,10
198,199,10
199,200,10
200,201,10
201,202,10
202,203,10
203,204,10
204,205,10
205,206,28
206,207,25
207,208,21
208,209,19
209,210,17
210,211,15
211,212,14
212,213,12
213,214,10
214,215,9
215,216,7
216,217,6
217,218,6
218,219,5
219,220,4
220,221,4
221,222,4
222,223,4
223,224,4
224,225,4
225,226,4
226,227,4
227,228,4
228,229,4
229,230,4
230,231,4
231,232,4
232,233,4
233,234,4
234,235,4
235,236,4
236,237,4
237,238,4
238,239,4
239,240,4
240,241,4
241,242,4
242,243,4
243,244,4
244,245,4
245,246,4
246,247,4
247,248,4
248,249,4
249,250,4
250,251,33
251,252,24
252,253,23
253,254,22
254,255,20
255,256,15
256,257,14
257,258,9
258,259,9
259,260,7
260,261,6
261,262,6
262,263,6
263,264,5
264,265,2
265,266,2
266,267,2
267,268,2
268,269,2
269,270,2
270,271,2
271,272,2
272,273,2
273,274,2
274,275,2
275,276,2
276,277,2
277,278,2
278,279,2
279,280,2
280,281,2
281,282,2
282,283,2
283,284,2
284,285,2
285,286,2
286,287,2
287,288,2
288,289,2
289,290,2
290,291,2
291,292,2
292,293,2
293,294,2
294,295,2
295,296,29
296,297,29
297,298,26
298,299,22
299,300,19
300,301,15
301,302,14
302,303,12
303,304,11
304,305,10
305,306,9
306,307,8
307,308,7
308,309,5
309,310,5
310,311,5
311,312,5
312,313,5
313,314,5
314,315,5
315,316,5
316,317,5
317,318,5
318,319,5
319,320,5
320,321,5
321,322,5
322,323,5
323,324,5
324,325,5
325,326,5
326,327,5
327,328,5
328,329,5
329,330,5
330,331,5
331,332,5
332,333,5
333,334,5
334,335,5
335,336,5
336,337,5
337,338,5
338,339,5
339,340,30
340,341,27
341,342,23
342,343,19
343,344,16
344,345,16
345,346,12
346,347,10
347,348,9
348,349,7
349,350,7
350,351,6
351,352,6
352,353,6
353,354,6
354,355,6
355,356,6
356,357,6
357,358,6
358,359,6
359,360,6
360,361,6
361,362,6
362,363,6
363,364,6
364,365,6
365,366,6
366,367,6
367,368,6
368,369,6
369,370,6
370,371,6
371,372,6
372,373,6
373,374,6
374,375,6
375,376,6
376,377,6
377,378,6
378,379,6
379,380,6
380,381,6
381,382,30
382,383,27
383,384,26
384,385,23
385,386,22
386,387,19
387,388,16
388,389,15
389,390,12
390,391,10
391,392,9
392,393,9
393,394,9
394,395,9
395,396,9
396,397,9
397,398,9
398,399,9
399,400,9
400,401,9
401,402,9
402,403,9
403,404,9
404,405,9
405,406,9
406,407,9
407,408,9
408,409,9
409,410,9
410,411,9
411,412,9
412,413,9
413,414,9
414,415,9
415,416,9
416,417,9
417,418,9
418,419,9
419,420,9
420,421,9
421,422,9
422,423,29
423,424,28
424,425,23
425,426,21
426,427,17
427,428,14
428,429,13
429,430,12
430,431,11
431,432,11
432,433,10
433,434,10
434,435,10
435,436,10
436,437,8
