,Generation,Fitness
0,1,28
1,2,28
2,3,25
3,4,25
4,5,24
5,6,22
6,7,22
7,8,22
8,9,22
9,10,22
10,11,24
11,12,18
12,13,18
13,14,18
14,15,18
15,16,17
16,17,16
17,18,15
18,19,13
19,20,13
20,21,12
21,22,12
22,23,12
23,24,12
24,25,12
25,26,9
26,27,10
27,28,10
28,29,9
29,30,9
30,31,7
31,32,7
32,33,7
33,34,7
34,35,5
35,36,5
36,37,3
37,38,2
38,39,3
39,40,2
40,41,2
41,42,2
42,43,2
43,44,2
44,45,2
45,46,2
46,47,2
47,48,2
48,49,2
49,50,2
50,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
56,57,2
57,58,2
58,59,0
