,Generation,Fitness
0,1,28
1,2,27
2,3,24
3,4,24
4,5,25
5,6,25
6,7,24
7,8,24
8,9,21
9,10,22
10,11,19
11,12,19
12,13,18
13,14,18
14,15,18
15,16,18
16,17,18
17,18,16
18,19,16
19,20,16
20,21,16
21,22,14
22,23,15
23,24,14
24,25,14
25,26,14
26,27,14
27,28,14
28,29,14
29,30,14
30,31,14
31,32,14
32,33,14
33,34,14
34,35,14
35,36,14
36,37,14
37,38,14
38,39,14
39,40,14
40,41,14
41,42,14
42,43,14
43,44,14
44,45,14
45,46,14
46,47,14
47,48,14
48,49,14
49,50,14
50,51,14
51,52,14
52,53,14
53,54,14
54,55,14
55,56,14
56,57,14
57,58,14
58,59,14
59,60,14
60,61,14
61,62,14
62,63,14
63,64,14
64,65,14
65,66,14
66,67,14
67,68,14
68,69,14
69,70,14
70,71,14
71,72,14
72,73,14
73,74,14
74,75,14
75,76,14
76,77,14
77,78,14
78,79,14
79,80,14
80,81,14
81,82,14
82,83,14
83,84,14
84,85,14
85,86,14
86,87,14
87,88,14
88,89,14
89,90,14
90,91,14
91,92,14
92,93,14
93,94,14
94,95,14
95,96,14
96,97,14
97,98,14
98,99,14
99,100,14
100,101,14
101,102,14
102,103,14
103,104,14
104,105,14
105,106,14
106,107,14
107,108,14
108,109,14
109,110,14
110,111,14
111,112,14
112,113,14
113,114,14
114,115,14
115,116,14
116,117,14
117,118,14
118,119,14
119,120,14
120,121,14
121,122,14
122,123,14
123,124,14
124,125,14
125,126,14
126,127,14
127,128,14
128,129,14
129,130,14
130,131,14
131,132,14
132,133,14
133,134,14
134,135,14
135,136,14
136,137,14
137,138,14
138,139,14
139,140,14
140,141,14
141,142,14
142,143,14
143,144,14
144,145,14
145,146,14
146,147,14
147,148,14
148,149,14
149,150,14
150,151,14
151,152,14
152,153,14
153,154,14
154,155,14
155,156,14
156,157,14
157,158,14
158,159,14
159,160,14
160,161,14
161,162,14
162,163,14
163,164,14
164,165,14
165,166,14
166,167,14
167,168,14
168,169,14
169,170,14
170,171,14
171,172,14
172,173,14
173,174,14
174,175,14
175,176,14
176,177,14
177,178,14
178,179,14
179,180,14
180,181,14
181,182,14
182,183,14
183,184,14
184,185,14
185,186,14
186,187,14
187,188,14
188,189,14
189,190,14
190,191,14
191,192,14
192,193,14
193,194,14
194,195,14
195,196,14
196,197,14
197,198,14
198,199,14
199,200,14
200,201,14
201,202,14
202,203,14
203,204,14
204,205,14
205,206,14
206,207,14
207,208,14
208,209,14
209,210,14
210,211,14
211,212,14
212,213,14
213,214,14
214,215,14
215,216,14
216,217,14
217,218,14
218,219,14
219,220,14
220,221,14
221,222,14
222,223,14
223,224,14
224,225,14
225,226,14
226,227,14
227,228,14
228,229,14
229,230,14
230,231,14
231,232,14
232,233,14
233,234,14
234,235,14
235,236,14
236,237,14
237,238,14
238,239,14
239,240,14
240,241,14
241,242,14
242,243,14
243,244,14
244,245,14
245,246,14
246,247,14
247,248,14
248,249,14
249,250,14
250,251,14
251,252,14
252,253,14
253,254,14
254,255,14
255,256,14
256,257,14
257,258,14
258,259,14
259,260,14
260,261,14
261,262,14
262,263,14
263,264,14
264,265,14
265,266,14
266,267,14
267,268,14
268,269,14
269,270,14
270,271,14
271,272,14
272,273,14
273,274,14
274,275,14
275,276,14
276,277,14
277,278,14
278,279,14
279,280,14
280,281,14
281,282,14
282,283,14
283,284,14
284,285,14
285,286,14
286,287,14
287,288,14
288,289,14
289,290,14
290,291,14
291,292,14
292,293,14
293,294,14
294,295,14
295,296,14
296,297,14
297,298,14
298,299,14
299,300,14
300,301,14
301,302,14
302,303,14
303,304,14
304,305,14
305,306,14
306,307,14
307,308,14
308,309,14
309,310,14
310,311,14
311,312,14
312,313,14
313,314,14
314,315,14
315,316,14
316,317,14
317,318,14
318,319,14
319,320,14
320,321,14
321,322,14
322,323,14
323,324,14
324,325,14
325,326,14
326,327,14
327,328,14
328,329,14
329,330,14
330,331,14
331,332,14
332,333,14
333,334,14
334,335,14
335,336,14
336,337,14
337,338,14
338,339,14
339,340,14
340,341,14
341,342,14
342,343,14
343,344,14
344,345,14
345,346,14
346,347,14
347,348,14
348,349,14
349,350,14
350,351,14
351,352,14
352,353,14
353,354,14
354,355,14
355,356,14
356,357,14
357,358,14
358,359,14
359,360,14
360,361,14
361,362,14
362,363,14
363,364,14
364,365,14
365,366,14
366,367,14
367,368,14
368,369,14
369,370,14
370,371,14
371,372,14
372,373,14
373,374,14
374,375,14
375,376,14
376,377,14
377,378,14
378,379,14
379,380,14
380,381,14
381,382,14
382,383,14
383,384,14
384,385,14
385,386,14
386,387,14
387,388,14
388,389,14
389,390,14
390,391,14
391,392,14
392,393,14
393,394,14
394,395,14
395,396,14
396,397,14
397,398,14
398,399,14
399,400,14
400,401,14
401,402,14
402,403,14
403,404,14
404,405,14
405,406,14
406,407,14
407,408,14
408,409,14
409,410,14
410,411,14
411,412,14
412,413,14
413,414,14
414,415,14
415,416,14
416,417,14
417,418,14
418,419,14
419,420,14
420,421,14
421,422,14
422,423,14
423,424,14
424,425,14
425,426,14
426,427,14
427,428,14
428,429,14
429,430,14
430,431,14
431,432,14
432,433,14
433,434,14
434,435,14
435,436,14
436,437,14
437,438,14
438,439,14
439,440,14
440,441,14
441,442,14
442,443,14
443,444,14
444,445,14
445,446,14
446,447,14
447,448,14
448,449,14
449,450,14
450,451,14
451,452,14
452,453,14
453,454,14
454,455,14
455,456,14
456,457,14
457,458,14
458,459,14
459,460,14
460,461,14
461,462,14
462,463,14
463,464,14
464,465,14
465,466,14
466,467,14
467,468,14
468,469,14
469,470,14
470,471,14
471,472,14
472,473,14
473,474,14
474,475,14
475,476,14
476,477,14
477,478,14
478,479,14
479,480,14
480,481,14
481,482,14
482,483,14
483,484,14
484,485,14
485,486,14
486,487,14
487,488,14
488,489,14
489,490,14
490,491,14
491,492,14
492,493,14
493,494,14
494,495,14
495,496,14
496,497,14
497,498,14
498,499,14
499,500,14
500,501,14
501,502,14
502,503,14
503,504,14
504,505,14
505,506,14
506,507,14
507,508,14
508,509,14
509,510,14
510,511,14
511,512,14
512,513,14
513,514,14
514,515,14
515,516,14
516,517,14
517,518,14
518,519,14
519,520,14
520,521,14
521,522,14
522,523,14
523,524,14
524,525,14
525,526,14
526,527,14
527,528,14
528,529,14
529,530,14
530,531,14
531,532,14
532,533,14
533,534,14
534,535,14
535,536,14
