,Generation,Fitness
0,1,28
1,2,26
2,3,25
3,4,27
4,5,24
5,6,24
6,7,24
7,8,23
8,9,22
9,10,21
10,11,22
11,12,21
12,13,20
13,14,20
14,15,19
15,16,18
16,17,17
17,18,17
18,19,17
19,20,16
20,21,14
21,22,13
22,23,12
23,24,12
24,25,12
25,26,11
26,27,11
27,28,12
28,29,11
29,30,11
30,31,11
31,32,11
32,33,11
33,34,11
34,35,10
35,36,10
36,37,10
37,38,10
38,39,9
39,40,9
40,41,9
41,42,8
42,43,8
43,44,8
44,45,6
45,46,6
46,47,6
47,48,6
48,49,6
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,4
57,58,4
58,59,4
59,60,4
60,61,2
61,62,2
62,63,2
63,64,2
64,65,2
65,66,2
66,67,2
67,68,2
68,69,0
