,Generation,Fitness
0,1,28
1,2,29
2,3,29
3,4,26
4,5,26
5,6,25
6,7,22
7,8,24
8,9,21
9,10,21
10,11,20
11,12,20
12,13,19
13,14,19
14,15,18
15,16,18
16,17,16
17,18,17
18,19,15
19,20,15
20,21,15
21,22,15
22,23,16
23,24,14
24,25,15
25,26,14
26,27,14
27,28,14
28,29,12
29,30,12
30,31,12
31,32,12
32,33,12
33,34,12
34,35,12
35,36,8
36,37,8
37,38,10
38,39,9
39,40,7
40,41,7
41,42,6
42,43,6
43,44,6
44,45,7
45,46,7
46,47,7
47,48,7
48,49,6
49,50,4
50,51,4
51,52,4
52,53,4
53,54,4
54,55,4
55,56,4
56,57,2
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,2
63,64,2
64,65,2
65,66,2
66,67,2
67,68,0
