,Generation,Fitness
0,1,32
1,2,27
2,3,26
3,4,27
4,5,23
5,6,23
6,7,23
7,8,23
8,9,24
9,10,22
10,11,20
11,12,14
12,13,14
13,14,14
14,15,14
15,16,14
16,17,17
17,18,14
18,19,15
19,20,16
20,21,16
21,22,16
22,23,16
23,24,13
24,25,13
25,26,13
26,27,13
27,28,13
28,29,13
29,30,12
30,31,12
31,32,12
32,33,9
33,34,7
34,35,7
35,36,10
36,37,9
37,38,8
38,39,7
39,40,7
40,41,8
41,42,7
42,43,8
43,44,6
44,45,7
45,46,5
46,47,6
47,48,4
48,49,2
49,50,2
50,51,2
51,52,2
52,53,2
53,54,2
54,55,2
55,56,2
56,57,2
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,2
63,64,2
64,65,2
65,66,0
