,Generation,Fitness
0,1,29
1,2,27
2,3,26
3,4,26
4,5,28
5,6,23
6,7,21
7,8,21
8,9,21
9,10,21
10,11,21
11,12,21
12,13,20
13,14,19
14,15,19
15,16,13
16,17,13
17,18,13
18,19,13
19,20,16
20,21,15
21,22,14
22,23,14
23,24,14
24,25,14
25,26,14
26,27,13
27,28,12
28,29,11
29,30,10
30,31,10
31,32,10
32,33,10
33,34,10
34,35,9
35,36,9
36,37,9
37,38,9
38,39,9
39,40,8
40,41,6
41,42,5
42,43,7
43,44,7
44,45,6
45,46,7
46,47,4
47,48,4
48,49,6
49,50,6
50,51,4
51,52,5
52,53,6
53,54,4
54,55,4
55,56,4
56,57,4
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,0
