,Generation,Fitness
0,1,29
1,2,27
2,3,29
3,4,24
4,5,24
5,6,24
6,7,17
7,8,22
8,9,24
9,10,21
10,11,23
11,12,20
12,13,17
13,14,17
14,15,17
15,16,17
16,17,12
17,18,13
18,19,13
19,20,17
20,21,16
21,22,13
22,23,13
23,24,13
24,25,13
25,26,13
26,27,12
27,28,12
28,29,11
29,30,13
30,31,12
31,32,10
32,33,11
33,34,7
34,35,9
35,36,9
36,37,10
37,38,7
38,39,7
39,40,8
40,41,7
41,42,7
42,43,8
43,44,6
44,45,6
45,46,6
46,47,6
47,48,6
48,49,4
49,50,6
50,51,6
51,52,6
52,53,6
53,54,2
54,55,6
55,56,4
56,57,4
57,58,6
58,59,4
59,60,4
60,61,4
61,62,5
62,63,4
63,64,4
64,65,4
65,66,4
66,67,4
67,68,4
68,69,4
69,70,4
70,71,6
71,72,4
72,73,4
73,74,4
74,75,4
75,76,4
76,77,4
77,78,4
78,79,4
79,80,4
80,81,4
81,82,4
82,83,4
83,84,4
84,85,4
85,86,4
86,87,4
87,88,4
88,89,4
89,90,4
90,91,4
91,92,4
92,93,4
93,94,4
94,95,4
95,96,4
96,97,4
97,98,4
98,99,4
99,100,4
100,101,4
101,102,4
102,103,4
103,104,4
104,105,4
105,106,4
106,107,4
107,108,4
108,109,4
109,110,4
110,111,4
111,112,4
112,113,4
113,114,4
114,115,4
115,116,4
116,117,4
117,118,4
118,119,4
119,120,4
120,121,4
121,122,4
122,123,4
123,124,4
124,125,4
125,126,4
126,127,4
127,128,4
128,129,4
129,130,4
130,131,4
131,132,4
132,133,4
133,134,4
134,135,4
135,136,4
136,137,4
137,138,4
138,139,4
139,140,4
140,141,4
141,142,4
142,143,4
143,144,4
144,145,4
145,146,4
146,147,4
147,148,4
148,149,4
149,150,4
150,151,4
151,152,4
152,153,4
153,154,4
154,155,4
155,156,4
156,157,4
157,158,4
158,159,4
159,160,4
160,161,4
161,162,4
162,163,4
163,164,4
164,165,4
165,166,4
166,167,4
167,168,4
168,169,4
169,170,4
170,171,4
171,172,4
172,173,4
173,174,4
174,175,4
175,176,4
176,177,4
177,178,4
178,179,4
179,180,4
180,181,4
181,182,4
182,183,4
183,184,4
184,185,4
185,186,4
186,187,4
187,188,4
188,189,5
189,190,4
190,191,4
191,192,4
192,193,4
193,194,4
194,195,4
195,196,4
196,197,5
197,198,4
198,199,4
199,200,4
200,201,4
201,202,4
202,203,4
203,204,4
204,205,4
205,206,5
206,207,4
207,208,4
208,209,4
209,210,6
210,211,4
211,212,4
212,213,4
213,214,4
214,215,4
215,216,4
216,217,4
217,218,6
218,219,5
219,220,6
220,221,6
221,222,6
222,223,6
223,224,6
224,225,6
225,226,6
226,227,6
227,228,5
228,229,4
229,230,5
230,231,5
231,232,5
232,233,5
233,234,5
234,235,5
235,236,5
236,237,5
237,238,5
238,239,6
239,240,6
240,241,6
241,242,4
242,243,4
243,244,6
244,245,6
245,246,6
246,247,6
247,248,4
248,249,4
249,250,6
250,251,4
251,252,6
