,Generation,Fitness
0,1,27
1,2,26
2,3,25
3,4,25
4,5,24
5,6,25
6,7,21
7,8,21
8,9,21
9,10,21
10,11,20
11,12,19
12,13,19
13,14,19
14,15,19
15,16,18
16,17,17
17,18,16
18,19,12
19,20,12
20,21,15
21,22,15
22,23,14
23,24,8
24,25,13
25,26,11
26,27,13
27,28,11
28,29,10
29,30,11
30,31,8
31,32,8
32,33,8
33,34,9
34,35,9
35,36,9
36,37,7
37,38,7
38,39,7
39,40,7
40,41,5
41,42,5
42,43,5
43,44,6
44,45,6
45,46,6
46,47,5
47,48,4
48,49,4
49,50,2
50,51,4
51,52,4
52,53,4
53,54,5
54,55,4
55,56,5
56,57,2
57,58,4
58,59,4
59,60,5
60,61,5
61,62,4
62,63,2
63,64,4
64,65,2
65,66,4
66,67,5
67,68,2
68,69,5
69,70,2
70,71,4
71,72,2
72,73,2
73,74,5
74,75,5
75,76,5
76,77,5
77,78,2
78,79,2
79,80,4
80,81,2
81,82,2
82,83,5
83,84,5
84,85,4
85,86,5
86,87,5
87,88,4
88,89,4
89,90,2
90,91,5
91,92,5
92,93,5
93,94,4
94,95,4
95,96,5
96,97,5
97,98,5
98,99,4
99,100,4
100,101,4
101,102,4
102,103,4
103,104,5
104,105,2
105,106,4
106,107,4
107,108,2
108,109,2
109,110,2
110,111,4
111,112,4
112,113,2
113,114,2
114,115,4
115,116,0
