,Generation,Fitness
0,1,27
1,2,24
2,3,22
3,4,19
4,5,17
5,6,17
6,7,17
7,8,17
8,9,17
9,10,17
10,11,17
11,12,17
12,13,17
13,14,17
14,15,17
15,16,17
16,17,17
17,18,17
18,19,17
19,20,17
20,21,17
21,22,17
22,23,17
23,24,17
24,25,17
25,26,17
26,27,17
27,28,17
28,29,17
29,30,17
30,31,17
31,32,17
32,33,17
33,34,17
34,35,17
35,36,17
36,37,17
37,38,17
38,39,17
39,40,17
40,41,17
41,42,17
42,43,17
43,44,17
44,45,17
45,46,17
46,47,17
47,48,17
48,49,17
49,50,17
50,51,17
51,52,17
52,53,17
53,54,17
54,55,17
55,56,17
56,57,17
57,58,17
58,59,17
59,60,17
60,61,17
61,62,17
62,63,17
63,64,17
64,65,17
65,66,17
66,67,17
67,68,17
68,69,17
69,70,17
70,71,17
71,72,17
72,73,17
73,74,17
74,75,17
75,76,17
76,77,17
77,78,17
78,79,17
79,80,17
80,81,17
81,82,17
82,83,17
83,84,17
84,85,17
85,86,17
86,87,17
87,88,17
88,89,17
89,90,17
90,91,17
91,92,17
92,93,17
93,94,17
94,95,17
95,96,17
96,97,17
97,98,17
98,99,17
99,100,17
100,101,17
101,102,17
102,103,17
103,104,17
104,105,17
105,106,17
106,107,17
107,108,17
108,109,17
109,110,17
110,111,17
111,112,17
112,113,17
113,114,17
114,115,17
115,116,17
116,117,17
117,118,17
118,119,17
119,120,17
120,121,17
121,122,17
122,123,17
123,124,17
124,125,17
125,126,17
126,127,17
127,128,17
128,129,17
129,130,17
130,131,17
131,132,17
132,133,17
133,134,17
134,135,17
135,136,17
136,137,17
137,138,17
138,139,17
139,140,17
140,141,17
141,142,17
142,143,17
143,144,17
144,145,17
145,146,17
146,147,17
147,148,17
148,149,17
149,150,17
150,151,17
151,152,17
152,153,17
153,154,17
154,155,17
155,156,17
156,157,17
157,158,17
158,159,17
159,160,17
160,161,17
161,162,17
162,163,17
163,164,17
164,165,17
165,166,17
166,167,17
167,168,17
168,169,17
169,170,17
170,171,17
171,172,17
172,173,17
173,174,17
174,175,17
175,176,17
176,177,17
177,178,17
178,179,17
179,180,17
180,181,17
181,182,17
182,183,17
183,184,17
184,185,17
185,186,17
186,187,17
187,188,17
188,189,17
189,190,17
190,191,17
191,192,17
192,193,17
193,194,17
194,195,17
195,196,17
196,197,17
197,198,17
198,199,17
199,200,17
200,201,17
201,202,17
202,203,17
203,204,17
204,205,17
205,206,17
206,207,17
207,208,17
208,209,17
209,210,17
210,211,17
211,212,17
212,213,17
213,214,17
214,215,17
215,216,17
216,217,17
217,218,17
218,219,17
219,220,17
220,221,17
221,222,17
222,223,17
223,224,17
224,225,17
225,226,17
226,227,17
227,228,17
228,229,17
229,230,17
230,231,17
231,232,17
232,233,17
233,234,17
234,235,17
235,236,17
236,237,17
237,238,17
238,239,17
239,240,17
240,241,17
241,242,17
242,243,17
243,244,17
244,245,17
245,246,17
246,247,17
247,248,17
248,249,17
249,250,17
250,251,17
251,252,17
252,253,17
253,254,17
254,255,17
255,256,17
256,257,17
257,258,17
258,259,17
259,260,17
260,261,17
261,262,17
262,263,17
263,264,17
264,265,17
265,266,17
266,267,17
267,268,17
268,269,17
269,270,17
270,271,17
271,272,17
272,273,17
273,274,17
274,275,17
275,276,17
276,277,17
277,278,17
278,279,17
279,280,17
280,281,17
281,282,17
282,283,17
283,284,17
284,285,17
285,286,17
286,287,17
287,288,17
288,289,17
289,290,17
290,291,17
291,292,17
292,293,17
293,294,17
294,295,17
295,296,17
296,297,17
297,298,17
298,299,17
299,300,17
300,301,17
301,302,17
302,303,17
303,304,17
304,305,17
305,306,17
306,307,17
307,308,17
308,309,17
309,310,17
310,311,17
311,312,17
312,313,17
313,314,17
314,315,17
315,316,17
316,317,17
317,318,17
318,319,17
319,320,17
320,321,17
321,322,17
322,323,17
323,324,17
324,325,17
325,326,17
326,327,17
327,328,17
328,329,17
329,330,17
330,331,17
331,332,17
332,333,17
333,334,17
334,335,17
335,336,17
336,337,17
337,338,17
338,339,17
339,340,17
340,341,17
341,342,17
342,343,17
343,344,17
344,345,17
345,346,17
346,347,17
347,348,17
348,349,17
349,350,17
350,351,17
351,352,17
352,353,17
353,354,17
354,355,17
355,356,17
356,357,17
357,358,17
358,359,17
359,360,17
360,361,17
361,362,17
362,363,17
363,364,17
364,365,17
365,366,17
366,367,17
367,368,17
368,369,17
369,370,17
370,371,17
371,372,17
372,373,17
373,374,17
374,375,17
375,376,17
376,377,17
377,378,17
378,379,17
379,380,17
380,381,17
381,382,17
382,383,17
383,384,17
384,385,17
385,386,17
386,387,17
387,388,17
388,389,17
389,390,17
390,391,17
391,392,17
392,393,17
393,394,17
394,395,17
395,396,17
396,397,17
397,398,17
398,399,17
399,400,17
400,401,17
401,402,17
402,403,17
403,404,17
404,405,17
405,406,17
406,407,17
407,408,17
408,409,17
409,410,17
410,411,17
411,412,17
412,413,17
413,414,17
414,415,17
415,416,17
416,417,17
417,418,17
418,419,17
419,420,17
420,421,17
421,422,17
